Circuit,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),FPI Value,Reasons for De-Energization,month
ANTON,SCE Magic Mountain Truck Trail,35,53,31/46,13.88, Exceeded Threshold 99th Percentile Exceeded  FPI Value,Sept
BOOTLEGGER,SCE Antelope Valley Fwy,16,41,31/46,13.98, Exceeded Threshold  FPI Value,Sept
LOUCKS,SCE Antelope Valley Fwy,16,37,31/46,14.77, Exceeded Threshold  FPI Value,Sept
RED BOX,Chilao (CHOC1),16,46,31/46,14.01, Exceeded Threshold  FPI Value,Sept
SHOVEL,SCE Antelope Valley Fwy,16,37,31/46,14.84, Exceeded Threshold  FPI Value,Sept
SAND CANYON,SCE Magic Mountain Truck Trail,35,53,31/46,99th Percentile Exceeded, Exceeded Threshold  FPI Value,Sept
ENERGY,SCE Santa Susana Pass Rd,16.9,43.8,31/46,13.04,High Wind Trend Exceeded FPI,Nov
SAND CANYON,SCE Magic Mtn Truck Trail,30.6,40.3,31/46,12.11,High Wind Trend Exceeded FPI,Nov
DUKE,SCE Mount Davis,26.9,40.6,30/46,13.04,High Wind Trend Exceeded FPI,Nov
GRAPEVINE PEAK,Grapevine CHP (AT714),9,15,31/46,12.08,High Wind Trend Exceeded FPI,Nov
NAPOLEON,SCE Lamb Canyon Landfall,24.8,39.1,31/45,14.04,High Wind Trend Exceeded FPI,Nov
FROZEN,Grapevine Peak (RAWS) GVPC1,26,35,31/46,12.03,High Wind Trend Exceeded FPI,Nov
CUDDEBACK,SCE Cummings Valley,23,32.7,23/37,12.15,Exceeded Threshold Exceeded FPI,Nov
METTLER,SCE Cummings Valley,23,32.7,23/37,12.15,Exceeded Threshold Exceeded FPI,Nov
STEEL,SCE Badlands,24.5,42.2,30/43,13,Exceeded FPI,Nov
ANTON,SCE Happy Camp Rd,23.5,40.1,31/46,14.03,High Wind Trend Exceeded FPI,Nov
ZONE,SCE Long Canyon,22.6,38.4,31/46,13.01,High Wind Trend Exceeded FPI,Nov
TANAGER,SCE Cummings Valley,24.3,34.3,31/44,12.18,High Wind Trend Exceeded FPI,Nov
CONDOR,SCE Cummings Valley,26,37.6,31/46,14.1,High Wind Trend Exceeded FPI,Nov
RAINBOW,SCE South Mountain,26.5,34.7,31/46,13.01,High Wind Trend Exceeded FPI,Nov
BALCOM,SCE South Mountain,26.5,34.7,31/46,12.95,High Wind Trend Exceeded FPI,Nov
CUDDEBACK,SCE Reeves St,19.2,31.6,23/37,12.15,High Wind Trend Exceeded FPI,Nov
DYSART,SCE Old Banning Idyllwind Rd,25.6,47.8,31/46,12.16,Exceeded Threshold Exceeded FPI,Nov
SADDLEBACK,SCE Old Banning Idyllwind Rd,25.6,47.8,31/46,12.07,Exceeded Threshold Exceeded FPI,Nov
BONNEVILLE,SCE Ramona Expy,11.1,36,28/40,12,High Wind Trend Exceeded FPI,Nov
EASTER,SCE Ramona/ Hwy79,23.5,37.9,29/41,12.97,High Wind Trend Exceeded FPI,Nov
SAVORY,SCE Ramona/ Hwy79,23.5,37.9,29/42,13.97,High Wind Trend Exceeded FPI,Nov
DARTMOUTH,SCE Soboba Rd,18.1,38.8,31/45,13.02,High Wind Trend Exceeded FPI,Nov
METTLER,SCE Golden Hills Blvd,22.1,33.6,23/37,12.15,High Wind Trend Exceeded FPI,Nov
GINGER,SCE Moreno Valley Fwy,20.3,32.2,28/40,12.02,High Wind Trend Exceeded FPI,Nov
GNATCATCHER,SCE Cummings Valley,24.7,41.7,31/46,13.53,High Wind Trend Exceeded FPI,Nov
ATENTO,SCE Baker Canyon,19.4,38.4,31/46,13.01,High Wind Trend Exceeded FPI,Nov
LAUDA,SCE State St,22.9,38.7,31/45,13.02,High Wind Trend Exceeded FPI,Nov
STEEL,SCE Ramona/ Hwy79,7.9,28.8,30/43,13,High Wind Trend Exceeded FPI,Nov
GILMAN,SCE Massacre Canyon,7.9,28.8,31/45,13.02,High Wind Trend Exceeded FPI,Nov
COBRA,SCE Solemint Mtwy,28.2,42,31/42,12.05,High Wind Trend Exceeded FPI,Nov
BLUE CUT,SCE Cajon Pass,20.7,42.7,31/46,12,High Wind Trend Exceeded FPI,Nov
RED BOX,CHILAO (CHOC1),38,49,31/46,13.02,Exceeded Threshold Exceeded FPI,Nov
WOBEGONE,SCE Lakeview Ave E,25.1,37,28/40,12.02,High Wind Trend Exceeded FPI,Nov
TAHQUITZ,SCE Apple Canyon,21.8,39.7,31/46,13.47,High Wind Trend Exceeded FPI,Nov
RAINBOW,SCE Bixby Rd,21.9,40.4,31/46,13.01,High Wind Trend Exceeded FPI,Nov
PURCHASE,Cabazon (RAWS) BAZC1,23,43,31/46,13.03,High Wind Trend Exceeded FPI,Nov
TIMBER CANYON,SCE Toland Park,23.4,43.3,31/46,14.03,High Wind Trend Exceeded FPI,Nov
PHEASANT,SCE Walling Dr,30.2,41.7,31/45,13.03,High Wind Trend Exceeded FPI,Nov
SOGGY,SCE Ramona Expy,28.2,42.8,28/40,12.01,Exceeded Threshold Exceeded FPI,Nov
HONEYCRISP,SCE San Timoteo Canyon,22.4,38.9,24/42,12.04,High Wind Trend Exceeded FPI,Nov
GREAT SALT,SCE Lakeview Ave E,28.2,42.8,29/42,12.98,Exceeded Threshold Exceeded FPI,Nov
ESTABAN,SCE Hondo Barranca Rd,20.5,50.9,31/45,13.97,Exceeded Threshold Exceeded FPI,Nov
CASTRO,SCE Anlauf Canyon,24.8,41.6,30/46,13.04,High Wind Trend Exceeded FPI,Nov
BONNEVILLE,SCE West Contour Rd,19.1,37.9,28/40,12,High Wind Trend Exceeded FPI,Nov
NORTHPARK,SCE Devore Heights,12,43.1,31/46,12.9,High Wind Trend Exceeded FPI,Nov
OLIVER,SCE Ramona Expy,14.8,41,29/42,12.99,High Wind Trend Exceeded FPI,Nov
CORSAIR,SCE Red Mountain Rd,20.7,39.6,30/42,14.53,High Wind Trend Exceeded FPI,Nov
LOCKNER,SCE Orchard/2 Rd,13.6,44.1,31/45,13.02,High Wind Trend Exceeded FPI,Nov
STAR ROCK,SCE Santa Ana River Bikeway,26.3,43.4,31/44,12,High Wind Trend Exceeded FPI,Nov
OAK KNOLL,SCE Crab Flats,26.9,54.7,31/46,12.19,Exceeded Threshold Exceeded FPI,Nov
LOPEZ,SCE Little Tujunga Canyon Rd,9.2,40.8,31/46,14.06,High Wind Trend Exceeded FPI,Nov
FLAKE,SCE Moreno Valley Fwy,20.3,41.7,28/36,12,Exceeded Threshold Exceeded FPI,Nov
CUTHBERT,SCE Ramirez Canyon,27.9,47.5,31/46,12,Exceeded Threshold Exceeded FPI,Nov
SONOMA,SCE Joppe Ave,27.9,44.1,28/39,13,Exceeded Threshold Exceeded FPI,Nov
TAIWAN,SCE Chapman Ave,23.9,43.2,31/46,12.98,High Wind Trend Exceeded FPI,Nov
EASTER,SCE Cottonwood /2,21.6,39.4,29/41,12.97,High Wind Trend Exceeded FPI,Nov
DAVENPORT,SCE Rattle Snake Rd,24.3,47.9,31/46,12.11,Exceeded Threshold Exceeded FPI,Nov
DAVENPORT,SCE Letteau Canyon,26.4,43.4,31/46,12.11,High Wind Trend Exceeded FPI,Nov
FINGAL,SCE Twin Pines,26.8,53.1,31/46,12.17,Exceeded Threshold Exceeded FPI,Nov
ROUNDEL,SCE Elm Ave,26.7,41.1,31/44,14.04,High Wind Trend Exceeded FPI,Nov
SHOVEL,SCE Antelope Valley Fwy,23.4,39.9,25/40,12.11,High Wind Trend Exceeded FPI,Nov
STUBBY,SCE Millard Pass,26.5,46.4,31/46,13.03,Exceeded Threshold Exceeded FPI,Nov
STUBBY,SCE Mias Canyon,25.9,41.9,31/46,13.03,High Wind Trend Exceeded FPI,Nov
STORES,SCE Millard Pass,26.5,46.4,31/46,13.55,Exceeded Threshold Exceeded FPI,Nov
GUITAR,SCE Tapo Canyon,28.2,46.3,31/46,13.09,Exceeded Threshold Exceeded FPI,Nov
TAPO,SCE Tapo Canyon,28.2,46.3,31/46,13.03,Exceeded Threshold Exceeded FPI,Nov
BING,SCE Elm Ave,24.3,44.4,31/45,14.04,High Wind Trend Exceeded FPI,Nov
SCHMIDT,SCE Minnesota Ave,17.9,40,31/44,14.04,High Wind Trend Exceeded FPI,Nov
PICK,SCE Red Rover Mine,18.8,47.4,31/46,12.09,Exceeded Threshold Exceeded FPI,Nov
