County,Circuit,POC *(Not Originally in Scope),Isolation Device,Customers De‐Energized,Reasons for De‐Energization,FPI Value,Trigger Percentage,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),Adjusted Triggers (Sustained/ Gust)
Los Angeles,SAND CANYON,1/14 ‐ 1/15,RAR0191,9.0,Exceeded Threshold Exceeded FPI,12.53,168%,SCE Magic Mtn Truck Trl,47,59.7,31/46,28/41
Los Angeles,CUTHBERT,1/14 ‐ 1/15,CB,2355.0,High Wind Trend Exceeded FPI,12.5,107%,SCE Escondido Canyon,30,39.3,31/46,28/41
Los Angeles,CUTHBERT,1/14 ‐ 1/15,RAR8623,84.0,Exceeded Threshold Exceeded FPI,12.5,123%,SCE Ramirez Canyon,32.4,50.5,31/46,28/41
Los Angeles,CUTHBERT,1/14 ‐ 1/15,RCS0036,498.0,Exceeded Threshold Exceeded FPI,12.5,116%,SCE Ramirez Canyon,32.6,46.3,31/46,28/41
Los Angeles,DAVENPORT,1/14 ‐ 1/15,RAR0050,332.0,High Wind Trend Exceeded FPI,12.72,106%,SCE Letteau Canyon,26.1,43.5,31/46,28/41
Los Angeles,LOUCKS,1/14 ‐ 1/15,RAR3431 (SHOVEL),55.0,Source Circuit De‐ Energized: Shovel,12.43,N/A,SCE Letteau Canyon,N/A,N/A,31/46,29/44
Los Angeles,SHOVEL,1/14 ‐ 1/15,RAR3431,54.0,Exceeded Threshold Exceeded FPI,12.88,108%,SCE Letteau Canyon,26.1,43.5,25/40,23/36
Los Angeles,PLATEAU,1/14 ‐ 1/15,RAR0051,188.0,High Wind Trend Exceeded FPI,12.63,105%,SCE Saddle Peak,29.3,42.5,31/46,28/41
Los Angeles;Ventura,BIG ROCK,1/14 ‐ 1/15,PS0473,119.0,Exceeded Threshold Exceeded FPI,12.2,108%,SCE Cochran St,31.4,36.4,31/46,29/44
Los Angeles;Ventura,ENERGY,1/14 ‐ 1/15,"GS1321‐4, GS7920‐1",854.0,Exceeded Threshold Exceeded FPI,12.2,115%,SCE Browns Canyon,33.3,45.7,31/46,29/44
Los Angeles;Ventura,GUITAR,1/14 ‐ 1/15,RAR0402,42.0,Exceeded Threshold Exceeded FPI,12.66,111%,SCE Tapo Canyon,31.1,42.2,31/46,28/41
Los Angeles;Ventura,ENERGY,1/14 ‐ 1/15,RAR0490,817.0,Exceeded Threshold Exceeded FPI,12.4,132%,SCE Cochran St,49.1,64.8,31/45,35/45
Los Angeles;Ventura,BIG ROCK,1/14 ‐ 1/15,RCS0849‐2,2473.0,Exceeded Threshold Exceeded FPI,12.8,176%,SCE Browns Canyon,42,59.3,31/46,28/41
Riverside,BLACKHILLS,1/14 ‐ 1/15,RSR2544,577.0,Exceeded Threshold Exceeded FPI,12.8,110%,SCE Thunder Ridge,31,42.89,31/46,28/41
Riverside;San Bernardino,LARCH,1/14 ‐ 1/15,RCS0849,0.0,Exceeded Threshold Exceeded FPI,12.43,105%,SCE 25th Street,38,54,31/46,40/58
Riverside;San Bernardino,CABANA,1/14 ‐ 1/15,CB,2365.0,Exceeded Threshold Exceeded FPI,12.8,99%,SCE Jurupa Hills,33.7,47.4,31/46,37/48
San Bernardino,SWEETWATER,1/14 ‐ 1/15,RCS1451‐1,1267.0,Exceeded Threshold Exceeded FPI,13.44,99%,SCE Badger Canyon,38.54,53.2,31/46,40/54
San Bernardino,NORTHPARK,1/14 ‐ 1/15,RAR0824,625.0,Exceeded Threshold Exceeded FPI,12.71,119%,SCE W Little League Dr,32.5,49,31/46,28/41
San Bernardino,VARGAS,1/14 ‐ 1/15,RAR0828,394.0,Exceeded Threshold Exceeded FPI,13.52,118%,F0494 San Bernardino CSU SB,19,46,31/46,26/39
San Bernardino,CALSTATE,1/14 ‐ 1/15,RAR0868,9.0,Exceeded Threshold Exceeded FPI,13.53,97%,SCE Devil Canyon,37,55.2,31/46,40/57
Ventura,TAPO,1/14 ‐ 1/15,PS0046,0.0,Preemptive de‐ energization (No Load),N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ventura,TWIN LAKES,1/14 ‐ 1/15,RCS1756‐2,286.0,Exceeded Threshold Exceeded FPI,12.2,104%,SCE Cochran St,35.5,46.7,31/45,35/45
Ventura,ANTON,1/14 ‐ 1/15,"RAR0217, RAR1992",139.0,Exceeded Threshold Exceeded FPI,12.7,145%,SCE Happy Camp Rd,40.6,55.8,31/46,28/41
Ventura,TWIN LAKES,1/14 ‐ 1/15,RCS1756‐2,285.0,Exceeded Threshold Exceeded FPI,12.5,150%,SCE Cochran St,42,59.3,31/46,28/41
Los Angeles,CALGROVE,1/14 ‐ 1/15*,RAR0071,24.0,Exceeded Threshold Exceeded FPI,12,109%,SCE Newhall Pass,31.6,43.6,31/46,29/44
Los Angeles;Ventura,ENERGY,1/16 ‐ 1/17,RAR0490,824.0,Exceeded Threshold Exceeded FPI,12.5,101%,SCE Browns Canyon,31.4,45.7,31/46,28/41
Ventura,ANTON,1/16 ‐ 1/17,"RAR0217, RAR1992",139.0,Exceeded Threshold Exceeded FPI,12.5,104%,SCE Happy Camp Rd,29.26,47.79,31/46,28/41
Los Angeles,CALGROVE,1/16 ‐ 1/17*,RAR0071,24.0,Exceeded Threshold Exceeded FPI,12.7,102%,SCE Newhall Pass,30.1,46.9,31/46,28/41
Ventura,BELPAC,1/16 ‐ 1/17*,CB,3211.0,Exceeded Threshold Exceeded FPI,12,104%,SCE N Wendy Dr,31.96,43.91,31/42.42,31/42
Fresno;Madera,SAGINAW,1/18 ‐ 1/20,"CB at BC3, BC4",4.0,Exceeded Threshold Exceeded FPI,12.0,111%,SCE Redinger Lake Rd,15.6,44.6,24/40,24/40
Kern,FROZEN,1/18 ‐ 1/20,CB,1.0,Preemptive: To coordinate with PG&E resources,12.7,61%,Grapevine Peak (RAWS) GVPC1,19.0,24.0,31/46,28/41
Kern,GRAPEVINE PEAK,1/18 ‐ 1/20,PG&E FUSE#2447,4.0,Preemptive: To coordinate with PG&E resources,12.7,58%,Grapevine Peak (RAWS) GVPC1,19.0,24.0,31/46,33/47
Kern,CONDOR,1/18 ‐ 1/20,RAR1573,322.0,High Wind Trend Exceeded FPI,13.1,108%,SCE Bear Mountain,22.8,44.4,31/46,28/41
Kern,METTLER,1/18 ‐ 1/20,CB,526.0,High Wind Trend Exceeded FPI,12.7,98%,SCE Golden Valley,20.6,31.9,23/37,21/33
Kern,CANEBRAKE,1/18 ‐ 1/20,RAR0630,121.0,High Wind Trend Exceeded FPI,12.2,102%,sce cANEBRAKE cREEK,29.6,41.1,31/46,29/44
