,HlyAirTmp (F),HlyDewPnt (F),HlyEto (in),HlyNetRad (Ly/day),HlyAsceEto (in),HlyAsceEtr (in),HlyPrecip (in),HlyRelHum (%),HlyResWind (MPH),HlySoilTmp (F),HlySolRad (Ly/day),HlyVapPres (mBars),HlyWindDir (°),HlyWindSpd (MPH)
2,1.0,1.0,0.8888888888888888,1.0,0.9722222222222222,0.0,1.0,1.0,0.7916666666666666,1.0,1.0,1.0,1.0,0.8333333333333334
5,1.0,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,0.0,1.0,1.0,0.9027777777777778,1.0,1.0,1.0,1.0,0.9583333333333334
6,0.8194444444444444,1.0,0.5277777777777778,1.0,0.7083333333333334,0.0,1.0,1.0,0.4027777777777778,1.0,1.0,1.0,0.9861111111111112,0.3888888888888889
7,0.9583333333333334,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9166666666666666,1.0,0.9861111111111112,1.0,1.0,0.9305555555555556
12,0.9722222222222222,1.0,0.8055555555555556,0.9166666666666666,0.8333333333333334,0.0,1.0,1.0,0.5138888888888888,1.0,1.0,1.0,1.0,0.7222222222222222
13,0.9444444444444444,1.0,0.9722222222222222,1.0,0.9166666666666666,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9583333333333334,0.8611111111111112
15,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.0,1.0,1.0,0.8055555555555556,1.0,1.0,1.0,1.0,0.9583333333333334
35,1.0,1.0,1.0,1.0,0.9861111111111112,0.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.8888888888888888
39,1.0,0.20833333333333334,1.0,1.0,0.9722222222222222,0.0,1.0,0.7361111111111112,0.9166666666666666,1.0,1.0,0.9583333333333334,0.9305555555555556,0.9861111111111112
41,1.0,0.9166666666666666,0.9444444444444444,1.0,0.9722222222222222,0.0,1.0,0.8888888888888888,0.8472222222222222,1.0,1.0,0.9583333333333334,1.0,0.8888888888888888
43,0.9861111111111112,1.0,0.7777777777777778,0.9861111111111112,0.7361111111111112,0.0,1.0,1.0,0.4722222222222222,1.0,1.0,1.0,1.0,0.7083333333333334
44,1.0,0.9166666666666666,0.8888888888888888,0.9722222222222222,0.9166666666666666,0.0,1.0,1.0,0.9305555555555556,1.0,1.0,0.9444444444444444,0.8194444444444444,0.9861111111111112
47,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.4722222222222222
52,1.0,0.9583333333333334,0.9027777777777778,1.0,0.9027777777777778,0.0,1.0,0.8194444444444444,0.9722222222222222,1.0,1.0,0.9583333333333334,1.0,0.9305555555555556
54,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0
56,0.9861111111111112,0.9583333333333334,0.75,0.9305555555555556,0.8472222222222222,0.0,1.0,1.0,0.7638888888888888,1.0,1.0,0.9722222222222222,1.0,0.7083333333333334
57,0.9722222222222222,1.0,0.9444444444444444,1.0,0.9583333333333334,0.0,1.0,1.0,0.7222222222222222,1.0,1.0,1.0,1.0,0.7916666666666666
62,1.0,0.8055555555555556,0.6527777777777778,1.0,0.9583333333333334,0.0,1.0,1.0,0.8611111111111112,1.0,1.0,0.7222222222222222,1.0,0.9861111111111112
64,1.0,1.0,1.0,0.9305555555555556,1.0,0.0,1.0,1.0,0.7777777777777778,0.0,1.0,1.0,1.0,0.9722222222222222
68,1.0,0.9305555555555556,0.9583333333333334,0.9722222222222222,0.9861111111111112,0.0,1.0,1.0,0.9027777777777778,1.0,1.0,0.8611111111111112,1.0,0.9305555555555556
70,0.6805555555555556,1.0,0.8611111111111112,0.9861111111111112,0.7916666666666666,0.0,1.0,1.0,0.5277777777777778,1.0,1.0,1.0,0.9722222222222222,0.6666666666666666
71,0.9583333333333334,1.0,0.8055555555555556,0.9444444444444444,0.8333333333333334,0.0,1.0,1.0,0.5,1.0,1.0,0.9722222222222222,1.0,0.6111111111111112
75,0.9861111111111112,0.7361111111111112,0.9583333333333334,0.9027777777777778,0.9166666666666666,0.0,1.0,0.9861111111111112,0.9305555555555556,1.0,1.0,0.7916666666666666,1.0,1.0
77,1.0,1.0,0.8472222222222222,1.0,0.8472222222222222,0.0,1.0,1.0,0.4305555555555556,1.0,1.0,1.0,1.0,0.4583333333333333
78,1.0,0.8055555555555556,0.9861111111111112,0.9027777777777778,0.9861111111111112,0.0,0.9722222222222222,1.0,0.875,1.0,1.0,0.9444444444444444,0.9722222222222222,0.9444444444444444
80,0.9861111111111112,1.0,0.8888888888888888,1.0,0.9722222222222222,0.0,1.0,1.0,0.9305555555555556,1.0,1.0,1.0,1.0,0.9722222222222222
83,0.7777777777777778,0.9027777777777778,0.7777777777777778,1.0,0.6944444444444444,0.0,1.0,0.9166666666666666,0.5694444444444444,1.0,0.9861111111111112,1.0,0.9861111111111112,0.7222222222222222
84,0.9444444444444444,1.0,0.9166666666666666,1.0,0.8611111111111112,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9305555555555556,0.8472222222222222
87,1.0,0.8888888888888888,0.9583333333333334,0.8611111111111112,1.0,0.0,1.0,0.9583333333333334,0.9444444444444444,1.0,1.0,0.9444444444444444,1.0,1.0
88,1.0,0.875,0.9583333333333334,1.0,1.0,0.0,1.0,1.0,0.8611111111111112,0.9861111111111112,1.0,1.0,1.0,0.7638888888888888
90,1.0,1.0,0.9583333333333334,0.9166666666666666,0.9444444444444444,0.0,1.0,1.0,0.5833333333333334,1.0,1.0,1.0,0.9444444444444444,0.7777777777777778
91,0.8611111111111112,0.8611111111111112,0.8333333333333334,1.0,0.8333333333333334,0.0,1.0,0.8611111111111112,0.7083333333333334,1.0,1.0,0.8611111111111112,1.0,0.8333333333333334
92,1.0,0.9861111111111112,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9444444444444444,0.7083333333333334
99,1.0,0.75,0.9583333333333334,0.9027777777777778,0.9722222222222222,0.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.9444444444444444,0.9583333333333334,0.9444444444444444
103,0.8194444444444444,0.9305555555555556,0.7361111111111112,0.9027777777777778,0.8611111111111112,0.0,1.0,0.9305555555555556,0.4027777777777778,1.0,1.0,1.0,1.0,0.4444444444444444
104,0.9305555555555556,1.0,1.0,0.9861111111111112,0.9722222222222222,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9583333333333334
105,0.9861111111111112,1.0,0.8888888888888888,1.0,0.9444444444444444,0.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.8611111111111112
106,0.8888888888888888,1.0,0.9444444444444444,0.9166666666666666,0.9583333333333334,0.0,1.0,1.0,0.9027777777777778,1.0,1.0,1.0,1.0,0.9722222222222222
107,0.9305555555555556,0.9305555555555556,1.0,0.9027777777777778,0.9861111111111112,0.0,0.9583333333333334,0.9305555555555556,0.9305555555555556,1.0,0.9861111111111112,0.8194444444444444,1.0,0.9722222222222222
109,0.6944444444444444,0.9166666666666666,0.9722222222222222,1.0,0.9444444444444444,0.0,0.9861111111111112,0.9166666666666666,0.7777777777777778,1.0,1.0,1.0,0.9583333333333334,0.8055555555555556
113,1.0,1.0,0.9722222222222222,1.0,0.9861111111111112,0.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9166666666666666
114,1.0,1.0,0.875,0.9861111111111112,0.9722222222222222,0.0,1.0,1.0,0.9305555555555556,1.0,1.0,1.0,1.0,0.9305555555555556
116,0.3333333333333333,0.7916666666666666,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.875,0.4722222222222222,0.9583333333333334,0.9583333333333334,1.0,0.8333333333333334
117,1.0,0.8888888888888888,1.0,0.9444444444444444,0.9722222222222222,0.0,1.0,0.9861111111111112,0.9166666666666666,1.0,1.0,1.0,1.0,0.8888888888888888
121,0.9166666666666666,1.0,0.6111111111111112,1.0,0.7083333333333334,0.0,1.0,1.0,0.3611111111111111,1.0,1.0,1.0,1.0,0.375
124,0.8194444444444444,0.9166666666666666,0.8055555555555556,0.9722222222222222,0.9583333333333334,0.0,1.0,0.9722222222222222,0.7638888888888888,1.0,1.0,0.9861111111111112,0.9861111111111112,0.7638888888888888
125,0.8611111111111112,1.0,0.8472222222222222,1.0,0.8611111111111112,0.0,1.0,1.0,0.7361111111111112,1.0,1.0,1.0,1.0,0.8055555555555556
126,0.9861111111111112,1.0,0.9722222222222222,0.9722222222222222,0.9861111111111112,0.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.9861111111111112
129,0.9583333333333334,1.0,0.9305555555555556,1.0,0.9444444444444444,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.8611111111111112
131,0.9722222222222222,1.0,0.8472222222222222,1.0,0.8194444444444444,0.0,1.0,1.0,0.5833333333333334,1.0,1.0,1.0,0.9722222222222222,0.5694444444444444
135,1.0,0.75,0.0,0.0,0.0,0.0,1.0,0.9722222222222222,0.9166666666666666,1.0,1.0,0.9166666666666666,0.7777777777777778,0.9722222222222222
136,1.0,0.9583333333333334,0.9166666666666666,1.0,1.0,0.0,1.0,0.9861111111111112,0.9305555555555556,1.0,1.0,0.9722222222222222,1.0,0.9166666666666666
139,0.75,0.9861111111111112,0.0,0.0,0.0,0.0,1.0,0.9861111111111112,0.5138888888888888,1.0,0.9861111111111112,1.0,1.0,0.4722222222222222
140,0.8472222222222222,1.0,0.8194444444444444,1.0,0.8333333333333334,0.0,1.0,1.0,0.3611111111111111,1.0,1.0,1.0,1.0,0.4166666666666667
142,0.9722222222222222,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9722222222222222,0.9583333333333334
143,1.0,1.0,0.9861111111111112,0.9722222222222222,0.9444444444444444,0.0,1.0,1.0,0.9027777777777778,1.0,0.9583333333333334,1.0,0.9861111111111112,0.9027777777777778
144,0.8194444444444444,1.0,0.7638888888888888,1.0,0.8055555555555556,0.0,1.0,1.0,0.5833333333333334,1.0,0.9722222222222222,1.0,1.0,0.6111111111111112
146,1.0,1.0,0.9722222222222222,1.0,0.9861111111111112,0.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.9722222222222222
147,1.0,0.6527777777777778,0.9305555555555556,0.9722222222222222,1.0,0.0,1.0,1.0,0.8472222222222222,1.0,1.0,0.6944444444444444,0.9861111111111112,0.9027777777777778
148,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,1.0,1.0,0.9027777777777778,1.0,1.0,1.0,1.0,0.9305555555555556
150,1.0,0.6666666666666666,0.9722222222222222,1.0,0.9583333333333334,0.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.6805555555555556,1.0,0.9722222222222222
151,1.0,0.7916666666666666,0.9861111111111112,0.9583333333333334,0.0,1.0,1.0,0.9583333333333334,0.0,1.0,1.0,0.7777777777777778,1.0,0.9444444444444444
152,1.0,0.7777777777777778,0.7777777777777778,1.0,0.7222222222222222,0.0,0.9722222222222222,1.0,0.875,1.0,1.0,0.8055555555555556,0.9444444444444444,0.8333333333333334
153,1.0,0.8888888888888888,0.9027777777777778,1.0,0.9861111111111112,0.0,1.0,0.9861111111111112,0.8194444444444444,1.0,1.0,0.8611111111111112,1.0,0.8055555555555556
155,0.7361111111111112,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4027777777777778,0.4583333333333333,1.0,1.0,0.9722222222222222,0.4027777777777778
157,0.8472222222222222,0.9583333333333334,0.8333333333333334,1.0,0.9027777777777778,0.0,1.0,0.9583333333333334,0.5833333333333334,1.0,1.0,1.0,0.9861111111111112,0.75
158,0.7916666666666666,0.9444444444444444,0.9444444444444444,0.9027777777777778,0.9861111111111112,0.0,1.0,0.9444444444444444,0.8333333333333334,1.0,0.9722222222222222,1.0,1.0,0.9444444444444444
159,1.0,0.7777777777777778,0.0,0.0,0.0,0.0,1.0,1.0,0.8194444444444444,1.0,1.0,0.8055555555555556,0.8055555555555556,0.8194444444444444
160,0.9722222222222222,1.0,0.8888888888888888,1.0,0.9027777777777778,0.0,0.9722222222222222,1.0,0.7222222222222222,1.0,1.0,1.0,0.9861111111111112,0.7638888888888888
163,1.0,1.0,1.0,1.0,1.0,0.0,0.9861111111111112,1.0,1.0,0.0,1.0,1.0,1.0,1.0
165,1.0,1.0,0.9583333333333334,1.0,0.9722222222222222,0.0,1.0,1.0,0.8472222222222222,1.0,1.0,0.9861111111111112,1.0,0.9166666666666666
