,HlyAirTmp (F),HlyDewPnt (F),HlyEto (in),HlyNetRad (Ly/day),HlyAsceEto (in),HlyAsceEtr (in),HlyPrecip (in),HlyRelHum (%),HlyResWind (MPH),HlySoilTmp (F),HlySolRad (Ly/day),HlyVapPres (mBars),HlyWindDir (°),HlyWindSpd (MPH)
2,1.0,1.0,0.9166666666666666,1.0,0.9722222222222222,0.0,1.0,1.0,0.8055555555555556,1.0,1.0,1.0,1.0,0.8055555555555556
5,1.0,1.0,0.9722222222222222,1.0,0.9861111111111112,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9861111111111112
6,0.9722222222222222,1.0,0.5694444444444444,1.0,0.75,0.0,1.0,1.0,0.3472222222222222,1.0,1.0,1.0,1.0,0.4027777777777778
7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7638888888888888,1.0,1.0,1.0,1.0,0.9027777777777778
12,0.9861111111111112,1.0,0.7777777777777778,0.9305555555555556,0.8611111111111112,0.0,1.0,1.0,0.6944444444444444,1.0,1.0,1.0,1.0,0.7916666666666666
13,0.9027777777777778,0.9583333333333334,0.9583333333333334,1.0,0.9305555555555556,0.0,1.0,0.9861111111111112,0.8611111111111112,1.0,1.0,0.9861111111111112,0.9305555555555556,0.8333333333333334
15,1.0,1.0,0.9305555555555556,1.0,0.9583333333333334,0.0,1.0,1.0,0.8055555555555556,1.0,1.0,1.0,1.0,0.8194444444444444
35,1.0,1.0,1.0,1.0,0.9861111111111112,0.0,1.0,1.0,0.8194444444444444,1.0,1.0,1.0,1.0,0.8333333333333334
39,1.0,0.2222222222222222,1.0,1.0,0.9722222222222222,0.0,1.0,0.8888888888888888,0.9444444444444444,1.0,1.0,0.9861111111111112,0.9583333333333334,1.0
41,1.0,0.9444444444444444,0.9444444444444444,1.0,0.9722222222222222,0.0,1.0,0.8888888888888888,0.8472222222222222,1.0,1.0,0.9444444444444444,1.0,0.9166666666666666
43,0.6666666666666666,1.0,0.7638888888888888,1.0,0.7361111111111112,0.0,1.0,1.0,0.5138888888888888,1.0,1.0,1.0,1.0,0.625
44,1.0,0.8194444444444444,0.9027777777777778,0.9166666666666666,0.9305555555555556,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.875,0.8611111111111112,1.0
47,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4722222222222222,1.0,1.0,0.0,1.0,0.5416666666666666
52,1.0,0.9305555555555556,0.9027777777777778,1.0,0.9027777777777778,0.0,1.0,0.8472222222222222,1.0,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334
54,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9444444444444444
56,1.0,1.0,0.7638888888888888,0.9444444444444444,0.8611111111111112,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.6805555555555556
57,0.9722222222222222,1.0,0.9722222222222222,1.0,0.9583333333333334,0.0,1.0,1.0,0.7638888888888888,1.0,1.0,1.0,1.0,0.8055555555555556
62,1.0,0.7083333333333334,0.625,1.0,0.9305555555555556,0.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.7777777777777778,1.0,0.8611111111111112
64,1.0,1.0,0.9722222222222222,1.0,0.9583333333333334,0.0,1.0,1.0,0.9166666666666666,0.0,1.0,1.0,1.0,1.0
68,1.0,0.9722222222222222,0.9583333333333334,0.9861111111111112,0.9861111111111112,0.0,1.0,0.9722222222222222,0.9166666666666666,1.0,1.0,0.9305555555555556,1.0,0.9861111111111112
70,0.7638888888888888,1.0,0.8055555555555556,0.9027777777777778,0.8888888888888888,0.0,1.0,1.0,0.5833333333333334,1.0,1.0,1.0,0.9861111111111112,0.6805555555555556
71,0.9444444444444444,1.0,0.7638888888888888,0.9861111111111112,0.8333333333333334,0.0,1.0,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,0.75
75,0.9861111111111112,0.7222222222222222,0.9583333333333334,0.9861111111111112,0.9166666666666666,0.0,1.0,0.9861111111111112,0.9722222222222222,1.0,1.0,0.8055555555555556,0.9722222222222222,1.0
77,0.7222222222222222,1.0,0.875,1.0,0.8611111111111112,0.0,1.0,1.0,0.4166666666666667,1.0,1.0,1.0,1.0,0.4305555555555556
78,1.0,0.8611111111111112,0.9722222222222222,0.9444444444444444,0.9722222222222222,0.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.9722222222222222,0.9444444444444444,0.9027777777777778
80,1.0,1.0,0.9166666666666666,1.0,0.9444444444444444,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0
83,0.7361111111111112,0.9166666666666666,0.7916666666666666,1.0,0.75,0.0,1.0,0.9166666666666666,0.5277777777777778,1.0,0.9861111111111112,0.9722222222222222,0.9444444444444444,0.5972222222222222
84,0.8472222222222222,1.0,0.9444444444444444,1.0,0.9166666666666666,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9166666666666666,0.8888888888888888
87,1.0,0.9444444444444444,0.9583333333333334,0.9027777777777778,1.0,0.0,1.0,0.9861111111111112,0.8888888888888888,1.0,1.0,0.8611111111111112,1.0,0.9861111111111112
88,1.0,1.0,0.9583333333333334,1.0,0.9861111111111112,0.0,1.0,1.0,0.875,1.0,1.0,0.9583333333333334,1.0,0.75
90,1.0,1.0,0.9444444444444444,0.8611111111111112,0.9444444444444444,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.875
91,0.9027777777777778,0.8611111111111112,0.8472222222222222,1.0,0.8333333333333334,0.0,1.0,0.8611111111111112,0.75,1.0,1.0,0.8611111111111112,1.0,0.8055555555555556
92,1.0,0.9861111111111112,0.0,0.0,0.0,0.0,1.0,1.0,0.6111111111111112,1.0,1.0,0.9861111111111112,1.0,0.6666666666666666
99,1.0,0.7638888888888888,0.9583333333333334,1.0,0.9722222222222222,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.75,0.9166666666666666,0.9444444444444444
103,0.8888888888888888,0.9305555555555556,0.7361111111111112,0.9583333333333334,0.8611111111111112,0.0,1.0,0.9305555555555556,0.3888888888888889,1.0,1.0,1.0,1.0,0.4583333333333333
104,0.7777777777777778,1.0,1.0,1.0,0.9722222222222222,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,1.0
105,1.0,1.0,0.8611111111111112,1.0,0.9305555555555556,0.0,1.0,1.0,0.8055555555555556,1.0,1.0,1.0,1.0,0.8194444444444444
106,1.0,1.0,0.9861111111111112,0.9027777777777778,0.9444444444444444,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9305555555555556
107,0.9305555555555556,0.8611111111111112,1.0,0.8888888888888888,0.9861111111111112,0.0,0.9583333333333334,0.9305555555555556,0.9444444444444444,1.0,1.0,0.8194444444444444,1.0,0.9305555555555556
109,0.7916666666666666,0.9166666666666666,0.9583333333333334,1.0,0.9444444444444444,0.0,1.0,0.9166666666666666,0.7916666666666666,1.0,1.0,1.0,0.9027777777777778,0.8611111111111112
113,1.0,1.0,0.9722222222222222,1.0,0.9583333333333334,0.0,1.0,1.0,0.875,1.0,1.0,1.0,0.9861111111111112,0.9166666666666666
114,1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,0.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.9583333333333334
116,0.5555555555555556,0.8055555555555556,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.8194444444444444,0.4583333333333333,0.9722222222222222,0.9722222222222222,1.0,0.8472222222222222
117,1.0,0.9583333333333334,1.0,0.9444444444444444,0.9861111111111112,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.9722222222222222,1.0,0.8611111111111112
121,0.6388888888888888,1.0,0.5972222222222222,1.0,0.6805555555555556,0.0,1.0,1.0,0.3472222222222222,1.0,1.0,1.0,1.0,0.3472222222222222
124,0.8055555555555556,0.9027777777777778,0.7916666666666666,1.0,0.9166666666666666,0.0,1.0,0.9722222222222222,0.7222222222222222,1.0,1.0,0.9305555555555556,1.0,0.7638888888888888
125,0.9444444444444444,1.0,0.8611111111111112,1.0,0.8472222222222222,0.0,1.0,1.0,0.7222222222222222,1.0,1.0,1.0,0.9861111111111112,0.75
126,1.0,1.0,0.9722222222222222,0.9027777777777778,0.9861111111111112,0.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,0.8888888888888888
129,0.9305555555555556,1.0,0.9166666666666666,1.0,0.9305555555555556,0.0,1.0,1.0,0.7361111111111112,1.0,1.0,1.0,1.0,0.875
131,0.7083333333333334,1.0,0.8194444444444444,1.0,0.8888888888888888,0.0,1.0,0.9861111111111112,0.5277777777777778,1.0,1.0,1.0,1.0,0.6666666666666666
135,1.0,0.7916666666666666,0.0,0.0,0.0,0.0,1.0,0.9722222222222222,0.9444444444444444,1.0,1.0,0.7638888888888888,0.7083333333333334,0.9583333333333334
136,1.0,0.9444444444444444,0.9027777777777778,1.0,1.0,0.0,1.0,0.9861111111111112,0.9166666666666666,1.0,1.0,0.9583333333333334,1.0,0.8888888888888888
139,0.9444444444444444,0.9861111111111112,0.0,0.0,0.0,0.0,1.0,0.9861111111111112,0.375,1.0,0.9861111111111112,1.0,1.0,0.4722222222222222
140,0.9444444444444444,1.0,0.8055555555555556,1.0,0.7916666666666666,0.0,1.0,1.0,0.3055555555555556,1.0,1.0,1.0,1.0,0.4027777777777778
142,1.0,1.0,1.0,1.0,0.9861111111111112,0.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.9722222222222222
143,1.0,1.0,0.9722222222222222,0.875,0.9444444444444444,0.0,1.0,1.0,0.875,1.0,0.9861111111111112,1.0,0.9861111111111112,0.9027777777777778
144,0.5416666666666666,1.0,0.75,1.0,0.8055555555555556,0.0,1.0,1.0,0.6111111111111112,1.0,1.0,1.0,0.9583333333333334,0.5972222222222222
146,1.0,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.9861111111111112,1.0,0.9861111111111112
147,1.0,0.6388888888888888,0.9305555555555556,1.0,1.0,0.0,1.0,1.0,0.8611111111111112,1.0,1.0,0.7361111111111112,0.9861111111111112,0.8611111111111112
148,1.0,1.0,0.9444444444444444,1.0,0.9305555555555556,0.0,1.0,1.0,0.8888888888888888,1.0,0.9861111111111112,1.0,0.9722222222222222,0.9166666666666666
150,1.0,0.6805555555555556,0.9861111111111112,1.0,0.9583333333333334,0.0,1.0,1.0,0.9305555555555556,1.0,1.0,0.6805555555555556,1.0,0.9861111111111112
151,1.0,0.6944444444444444,0.9861111111111112,0.8333333333333334,0.0,0.9583333333333334,1.0,0.9583333333333334,0.0,1.0,1.0,0.8194444444444444,1.0,0.9722222222222222
152,1.0,0.75,0.7638888888888888,1.0,0.7361111111111112,0.0,0.9722222222222222,1.0,0.8611111111111112,1.0,1.0,0.9305555555555556,0.9305555555555556,0.8194444444444444
153,1.0,0.8888888888888888,0.9166666666666666,1.0,0.9861111111111112,0.0,1.0,0.9861111111111112,0.7777777777777778,1.0,1.0,0.8333333333333334,1.0,0.8472222222222222
155,0.8472222222222222,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4166666666666667,0.25,1.0,1.0,1.0,0.5
157,0.6666666666666666,0.9583333333333334,0.8055555555555556,1.0,0.875,0.0,1.0,0.9583333333333334,0.625,1.0,1.0,1.0,1.0,0.6805555555555556
158,0.7361111111111112,0.9444444444444444,0.9444444444444444,0.9027777777777778,0.9722222222222222,0.0,1.0,0.9444444444444444,0.75,1.0,1.0,1.0,1.0,0.9305555555555556
159,1.0,0.875,0.0,0.0,0.0,0.0,1.0,1.0,0.8194444444444444,1.0,1.0,0.7638888888888888,0.8333333333333334,0.9444444444444444
160,0.9861111111111112,1.0,0.8472222222222222,1.0,0.9027777777777778,0.0,0.9722222222222222,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.9861111111111112
163,1.0,1.0,1.0,1.0,0.9861111111111112,0.0,0.9861111111111112,1.0,0.9722222222222222,0.0,1.0,1.0,1.0,1.0
165,1.0,1.0,0.9583333333333334,1.0,0.9722222222222222,0.0,1.0,1.0,0.7083333333333334,1.0,1.0,1.0,1.0,0.9027777777777778
169,1.0,1.0,0.9722222222222222,1.0,1.0,0.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9027777777777778
170,0.8611111111111112,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9444444444444444,0.0,1.0,0.9583333333333334,0.5416666666666666,1.0,0.9861111111111112,1.0,0.9861111111111112,0.6944444444444444
171,0.8472222222222222,1.0,1.0,0.875,0.9722222222222222,0.0,1.0,1.0,0.625,1.0,0.9861111111111112,1.0,1.0,0.8194444444444444
173,0.9722222222222222,0.8472222222222222,0.9861111111111112,0.9444444444444444,0.9861111111111112,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.7777777777777778,1.0,0.9722222222222222
174,1.0,0.8611111111111112,0.9722222222222222,1.0,1.0,0.0,1.0,1.0,0.625,1.0,1.0,0.9861111111111112,1.0,0.8611111111111112
175,1.0,0.875,1.0,0.8472222222222222,0.0,0.9583333333333334,1.0,0.8888888888888888,0.9444444444444444,1.0,1.0,0.8472222222222222,1.0,0.9861111111111112
178,0.8472222222222222,0.9861111111111112,0.9027777777777778,1.0,0.9027777777777778,0.0,1.0,0.9861111111111112,0.5138888888888888,1.0,1.0,1.0,1.0,0.6805555555555556
179,1.0,0.9861111111111112,1.0,0.9444444444444444,1.0,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.9722222222222222,1.0,0.9722222222222222
181,1.0,0.9722222222222222,0.9861111111111112,0.9166666666666666,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.8888888888888888
182,1.0,1.0,1.0,1.0,0.9861111111111112,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
183,1.0,0.9722222222222222,0.0,0.0,0.0,0.0,1.0,1.0,0.4027777777777778,1.0,1.0,1.0,1.0,0.375
184,1.0,0.5972222222222222,0.9861111111111112,1.0,0.9722222222222222,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.625,1.0,1.0
187,0.8472222222222222,0.9305555555555556,0.7638888888888888,1.0,0.875,0.0,1.0,0.9305555555555556,0.6805555555555556,1.0,0.9861111111111112,1.0,1.0,0.6111111111111112
191,1.0,1.0,0.9583333333333334,1.0,0.9027777777777778,0.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0,0.5694444444444444
192,1.0,0.9444444444444444,0.9861111111111112,0.9027777777777778,1.0,0.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,0.9722222222222222
193,0.7777777777777778,1.0,0.9583333333333334,1.0,0.9444444444444444,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9861111111111112
194,0.9583333333333334,1.0,0.7777777777777778,1.0,0.8472222222222222,0.0,1.0,1.0,0.6111111111111112,1.0,1.0,1.0,0.9861111111111112,0.6388888888888888
195,0.9444444444444444,1.0,0.9722222222222222,1.0,0.9722222222222222,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.8888888888888888
197,1.0,0.9305555555555556,0.9861111111111112,1.0,1.0,0.0,1.0,0.9027777777777778,0.7083333333333334,1.0,1.0,1.0,0.9861111111111112,0.7222222222222222
198,1.0,0.9305555555555556,0.6944444444444444,1.0,0.7222222222222222,0.0,1.0,1.0,0.7361111111111112,1.0,1.0,0.9583333333333334,1.0,0.7222222222222222
199,1.0,0.8333333333333334,1.0,0.9861111111111112,0.9861111111111112,0.0,1.0,0.9583333333333334,0.9861111111111112,0.5,1.0,1.0,1.0,1.0
200,1.0,0.8472222222222222,0.9305555555555556,0.9444444444444444,0.9861111111111112,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9444444444444444,1.0,0.9722222222222222
202,1.0,1.0,0.9861111111111112,0.9027777777777778,0.9722222222222222,0.0,0.9722222222222222,0.9583333333333334,0.6527777777777778,1.0,1.0,1.0,0.9861111111111112,0.6944444444444444
204,1.0,0.9583333333333334,0.8194444444444444,0.9166666666666666,0.8333333333333334,0.0,1.0,1.0,0.7638888888888888,1.0,1.0,1.0,1.0,0.6805555555555556
205,0.9861111111111112,1.0,0.9861111111111112,1.0,0.9444444444444444,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9444444444444444
206,0.7361111111111112,1.0,0.7361111111111112,0.9861111111111112,0.8055555555555556,0.0,1.0,1.0,0.6111111111111112,1.0,0.9861111111111112,1.0,0.9861111111111112,0.75
207,1.0,0.9305555555555556,1.0,0.9722222222222222,0.9722222222222222,0.0,1.0,1.0,0.875,1.0,1.0,0.9722222222222222,0.9861111111111112,0.875
208,1.0,0.8888888888888888,0.9583333333333334,1.0,1.0,0.0,1.0,0.9722222222222222,0.8611111111111112,1.0,1.0,0.9722222222222222,1.0,0.9305555555555556
209,0.8611111111111112,1.0,0.9305555555555556,1.0,0.9722222222222222,0.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9722222222222222,0.875
210,1.0,1.0,0.9722222222222222,1.0,0.9861111111111112,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211,1.0,1.0,0.9444444444444444,1.0,0.9305555555555556,0.0,1.0,1.0,0.9305555555555556,0.8333333333333334,1.0,1.0,1.0,0.9305555555555556
212,0.9722222222222222,1.0,0.75,1.0,0.7638888888888888,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5833333333333334
213,0.8611111111111112,1.0,0.9722222222222222,1.0,0.9305555555555556,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5694444444444444,0.8888888888888888
214,0.9444444444444444,1.0,0.9444444444444444,1.0,0.9722222222222222,0.0,1.0,1.0,0.9305555555555556,1.0,1.0,1.0,1.0,0.9722222222222222
215,1.0,0.8888888888888888,0.375,0.9861111111111112,0.4305555555555556,0.0,1.0,1.0,0.7916666666666666,1.0,1.0,0.8888888888888888,1.0,0.7777777777777778
216,1.0,0.9166666666666666,0.9166666666666666,0.9305555555555556,0.9444444444444444,0.0,1.0,1.0,0.7916666666666666,1.0,1.0,0.8194444444444444,0.9583333333333334,0.875
217,0.9583333333333334,0.9166666666666666,0.7361111111111112,1.0,0.7777777777777778,0.0,0.9583333333333334,1.0,0.8472222222222222,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.8611111111111112
218,1.0,0.9583333333333334,0.9305555555555556,0.9722222222222222,0.9583333333333334,0.0,1.0,0.9861111111111112,0.8472222222222222,1.0,1.0,0.9166666666666666,1.0,0.9444444444444444
219,1.0,0.75,0.7222222222222222,1.0,0.7083333333333334,0.0,1.0,1.0,1.0,1.0,1.0,0.8472222222222222,1.0,1.0
220,1.0,1.0,0.9861111111111112,1.0,1.0,0.0,1.0,1.0,0.7361111111111112,1.0,1.0,0.7083333333333334,1.0,0.8194444444444444
221,1.0,0.8611111111111112,0.7916666666666666,0.9583333333333334,0.9027777777777778,0.0,1.0,0.8194444444444444,0.7222222222222222,1.0,1.0,0.9166666666666666,1.0,0.8055555555555556
222,0.8194444444444444,0.9166666666666666,0.6666666666666666,0.9861111111111112,0.8194444444444444,0.0,1.0,0.9166666666666666,0.5555555555555556,1.0,1.0,1.0,1.0,0.3472222222222222
223,0.9722222222222222,0.7361111111111112,1.0,1.0,1.0,0.0,1.0,0.9722222222222222,0.8472222222222222,1.0,1.0,0.7777777777777778,0.9305555555555556,1.0
224,1.0,1.0,0.8194444444444444,0.9027777777777778,0.8194444444444444,0.0,1.0,1.0,0.5416666666666666,1.0,1.0,1.0,0.9861111111111112,0.5972222222222222
225,0.9861111111111112,1.0,0.9027777777777778,0.9861111111111112,0.8888888888888888,0.0,1.0,1.0,0.7361111111111112,1.0,0.9722222222222222,1.0,1.0,0.9027777777777778
226,1.0,1.0,0.5694444444444444,1.0,0.7777777777777778,0.0,1.0,0.9861111111111112,0.4444444444444444,1.0,1.0,1.0,1.0,0.375
227,0.8888888888888888,1.0,0.9722222222222222,1.0,0.9861111111111112,0.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.9583333333333334
228,0.8472222222222222,1.0,0.9444444444444444,1.0,0.9583333333333334,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9861111111111112,0.9166666666666666
229,1.0,1.0,0.9722222222222222,1.0,0.9444444444444444,0.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,0.9861111111111112,1.0
231,0.9861111111111112,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
232,0.9583333333333334,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9861111111111112,1.0,1.0
233,1.0,0.875,0.0,0.0,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9444444444444444,0.9861111111111112,1.0
234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,0.9027777777777778,1.0,0.7361111111111112,1.0,0.0,0.7638888888888888,1.0,1.0,0.4722222222222222,1.0,1.0,1.0,1.0,0.4166666666666667
236,0.8194444444444444,1.0,0.7777777777777778,0.9722222222222222,0.7638888888888888,0.0,1.0,1.0,0.5416666666666666,1.0,1.0,1.0,1.0,0.7916666666666666
237,1.0,0.75,0.9722222222222222,0.8333333333333334,0.9722222222222222,0.0,1.0,1.0,1.0,1.0,1.0,0.7361111111111112,0.9305555555555556,0.9027777777777778
239,1.0,0.8888888888888888,1.0,1.0,0.9305555555555556,0.0,1.0,0.9444444444444444,0.6527777777777778,0.8888888888888888,1.0,1.0,1.0,0.7916666666666666
240,1.0,0.7916666666666666,0.9583333333333334,1.0,0.9166666666666666,0.0,1.0,0.9583333333333334,0.9444444444444444,0.9861111111111112,1.0,1.0,0.9861111111111112,0.9305555555555556
241,1.0,0.6944444444444444,0.8611111111111112,1.0,0.9722222222222222,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.6944444444444444,0.875,0.8333333333333334
242,0.8888888888888888,1.0,0.5972222222222222,1.0,0.75,0.0,1.0,1.0,0.4305555555555556,1.0,1.0,1.0,1.0,0.4861111111111111
243,1.0,1.0,0.5138888888888888,1.0,0.7638888888888888,0.0,0.9722222222222222,1.0,0.4722222222222222,1.0,1.0,1.0,0.9722222222222222,0.4444444444444444
244,1.0,0.9861111111111112,0.7916666666666666,0.9722222222222222,0.8611111111111112,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.4583333333333333
245,0.9722222222222222,0.7916666666666666,0.9861111111111112,1.0,0.9583333333333334,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,0.9722222222222222
246,1.0,0.9861111111111112,0.9722222222222222,1.0,0.9722222222222222,0.0,1.0,1.0,0.7083333333333334,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666
247,0.8611111111111112,1.0,0.75,1.0,0.8055555555555556,0.0,1.0,1.0,0.5416666666666666,1.0,1.0,0.9722222222222222,0.9722222222222222,0.5555555555555556
248,0.8055555555555556,0.9861111111111112,0.7222222222222222,0.9444444444444444,0.7777777777777778,0.0,1.0,1.0,0.4861111111111111,1.0,1.0,1.0,1.0,0.5138888888888888
249,0.9027777777777778,1.0,0.8055555555555556,0.9861111111111112,0.8472222222222222,0.0,1.0,1.0,0.5138888888888888,1.0,1.0,1.0,1.0,0.6944444444444444
251,1.0,1.0,0.9583333333333334,1.0,0.9305555555555556,0.0,1.0,1.0,0.9027777777777778,1.0,1.0,1.0,0.9861111111111112,0.8888888888888888
252,1.0,1.0,0.9722222222222222,1.0,0.9861111111111112,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9583333333333334
253,0.5694444444444444,0.9583333333333334,0.9027777777777778,1.0,0.9305555555555556,0.0,1.0,0.9583333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.8611111111111112
254,0.9444444444444444,1.0,0.8333333333333334,1.0,0.9583333333333334,0.0,1.0,1.0,0.6388888888888888,1.0,1.0,1.0,1.0,0.6111111111111112
