,HlyAirTmp (F),HlyDewPnt (F),HlyEto (in),HlyNetRad (Ly/day),HlyAsceEto (in),HlyAsceEtr (in),HlyPrecip (in),HlyRelHum (%),HlyResWind (MPH),HlySoilTmp (F),HlySolRad (Ly/day),HlyVapPres (mBars),HlyWindDir (°),HlyWindSpd (MPH)
2,1.0,1.0,0.9305555555555556,1.0,0.9722222222222222,0.0,1.0,1.0,0.7916666666666666,1.0,1.0,1.0,1.0,0.7916666666666666
5,1.0,1.0,0.9722222222222222,1.0,0.9861111111111112,0.0,1.0,1.0,0.9027777777777778,1.0,1.0,1.0,1.0,1.0
6,0.7777777777777778,1.0,0.5,1.0,0.6944444444444444,0.0,1.0,1.0,0.3472222222222222,1.0,1.0,1.0,1.0,0.4166666666666667
7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,1.0,0.9583333333333334
12,1.0,1.0,0.8055555555555556,0.9305555555555556,0.8888888888888888,0.0,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,0.8472222222222222
13,0.8611111111111112,0.9861111111111112,0.9305555555555556,1.0,0.9305555555555556,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9722222222222222,0.9166666666666666,0.8611111111111112
15,1.0,1.0,0.9444444444444444,1.0,0.9861111111111112,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.9444444444444444
35,1.0,1.0,1.0,0.9444444444444444,0.9861111111111112,0.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.8333333333333334
39,1.0,0.2361111111111111,0.9861111111111112,1.0,0.9722222222222222,0.0,1.0,0.9444444444444444,0.9166666666666666,1.0,1.0,0.9305555555555556,0.9444444444444444,0.9861111111111112
41,1.0,0.9305555555555556,0.9583333333333334,1.0,0.9861111111111112,0.0,1.0,0.9444444444444444,0.875,1.0,1.0,0.9166666666666666,1.0,0.875
43,0.9166666666666666,1.0,0.75,0.9861111111111112,0.7222222222222222,0.0,1.0,1.0,0.4722222222222222,1.0,1.0,1.0,1.0,0.5833333333333334
44,1.0,0.9583333333333334,0.9166666666666666,0.9722222222222222,0.9305555555555556,0.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.7222222222222222,1.0
47,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5972222222222222,1.0,1.0,0.0,1.0,0.5555555555555556
52,1.0,0.9444444444444444,0.8888888888888888,1.0,0.9305555555555556,0.0,1.0,0.8055555555555556,0.9444444444444444,1.0,1.0,0.9583333333333334,0.9861111111111112,0.8055555555555556
54,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,1.0
56,0.9722222222222222,1.0,0.7777777777777778,0.9027777777777778,0.8472222222222222,0.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.7361111111111112
57,1.0,1.0,0.9583333333333334,1.0,0.9722222222222222,0.0,1.0,1.0,0.7777777777777778,1.0,1.0,0.9861111111111112,1.0,0.8472222222222222
62,1.0,0.7361111111111112,0.5833333333333334,1.0,0.8611111111111112,0.0,1.0,1.0,0.875,1.0,1.0,0.9305555555555556,1.0,0.8611111111111112
64,1.0,1.0,0.9861111111111112,1.0,0.9722222222222222,0.0,1.0,1.0,0.8333333333333334,0.0,1.0,1.0,1.0,1.0
68,1.0,0.8472222222222222,0.9444444444444444,1.0,0.9861111111111112,0.0,1.0,0.9722222222222222,0.9027777777777778,1.0,1.0,0.9444444444444444,1.0,0.9305555555555556
