,model-all-e100-20L-morn,model-all-e100-10L,model-all-e100-4L,model-all-e100-20L,model-year-e100-20L
MSE,565.128677136284,412.2161392237833,361.70478881490135,461.969311436408,440.3876580592374
abs_error,439530.80768203735,353472.35161590576,452149.6180458069,371689.1776237488,366788.4015007019
abs_target_sum,1142880.8021697998,1142880.8021697998,1142880.8021697998,1142880.8021697998,1142880.8021697998
abs_target_mean,35.64187502791929,35.64187502791929,35.64187502791929,35.64187502791929,35.64187502791929
seasonal_error,2.3608032068857594,2.3608032068857594,2.3608032068857594,2.3608032068857594,2.3608032068857594
MASE,5.278972028170599,4.491302937547111,6.1300312606248735,4.590389201323213,4.604018074184956
MAPE,0.6131353084546165,0.5111789548042998,0.46121683087968124,0.5254449722737085,0.5199554019154835
sMAPE,0.4512471007545939,0.4339274440859248,0.510909320072893,0.42287028084221623,0.4368862936949629
MSIS,70.81799225984561,60.32108992852801,70.26963877680596,55.606318031143964,59.060175298285614
QuantileLoss[0.5],439530.80658721924,353472.3520798981,452149.61814433336,371689.1758235693,366788.40035408735
Coverage[0.5],0.5484248324977778,0.4045571059716235,0.2090890560108163,0.42978317299552476,0.4331174601910301
QuantileLoss[0.9],219803.9372880101,199683.78272129296,367183.3062494874,181520.739720273,175384.42068202494
Coverage[0.9],0.7788058410902412,0.7318186371401817,0.4133038415590034,0.7766614502577932,0.7583379484883509
QuantileLoss[0.99],73696.69084015372,62056.88996316911,117475.4282915211,41152.78008415701,48437.168100463176
Coverage[0.99],0.9032878534584338,0.8992806609504352,0.7745285581396174,0.945647837777724,0.915517451409214
RMSE,23.772435237818694,20.303106639718546,19.018538030429713,21.49347136775277,20.985415365420753
NRMSE,0.666980489079126,0.5696419344889837,0.533600940341437,0.6030398611441268,0.5887853921540963
ND,0.3845814951546762,0.30928190494129043,0.39562272564854073,0.32522129772246033,0.3209332073864056
wQuantileLoss[0.5],0.3845814941967302,0.30928190534727534,0.39562272573474966,0.3252212961473359,0.3209332063831386
wQuantileLoss[0.9],0.19232446364546898,0.17471969285177089,0.32127874188837263,0.15882735922735725,0.15345819122086168
wQuantileLoss[0.99],0.06448326955902832,0.05429865463253202,0.10278887183028171,0.036007937140974805,0.04238164470739511
mean_absolute_QuantileLoss,244343.81157179433,205071.00825478672,312269.4508951139,198120.89854266646,202149.61537180404
mean_wQuantileLoss,0.2137964091337425,0.17943341761052609,0.27323011315113466,0.17335219750522265,0.1768772517554025
MAE_Coverage,0.08544371264970096,0.1181145319792532,0.33102618143018764,0.07930251298965268,0.09120057451298513
