,HlyAirTmp (F),HlyRelHum (%),HlyWindSpd (MPH)
2,1.0,1.0,0.6111111111111112
5,1.0,1.0,0.7361111111111112
6,0.9722222222222222,1.0,0.3055555555555556
7,1.0,1.0,0.5972222222222222
12,1.0,1.0,0.2777777777777778
13,1.0,0.9583333333333334,0.6111111111111112
15,1.0,1.0,0.7083333333333334
35,0.9722222222222222,0.9305555555555556,0.6388888888888888
39,1.0,0.9166666666666666,0.7916666666666666
41,0.9861111111111112,0.8888888888888888,0.6944444444444444
43,0.9166666666666666,1.0,0.3194444444444444
44,1.0,1.0,0.8611111111111112
47,0.0,0.0,0.3055555555555556
52,1.0,1.0,0.7083333333333334
54,1.0,1.0,0.8333333333333334
56,1.0,1.0,0.5694444444444444
57,1.0,1.0,0.6527777777777778
62,1.0,0.8888888888888888,0.7916666666666666
64,0.9583333333333334,0.8888888888888888,0.8888888888888888
68,1.0,0.9444444444444444,0.8333333333333334
70,0.9861111111111112,1.0,0.4305555555555556
71,0.9861111111111112,1.0,0.4305555555555556
75,0.9861111111111112,0.9305555555555556,0.6527777777777778
77,0.8888888888888888,1.0,0.3055555555555556
78,1.0,0.8333333333333334,0.7638888888888888
80,1.0,1.0,0.8055555555555556
83,0.8611111111111112,0.9166666666666666,0.4722222222222222
84,1.0,1.0,0.5
87,1.0,0.9305555555555556,0.8333333333333334
88,0.9861111111111112,0.9861111111111112,0.6527777777777778
90,1.0,1.0,0.7222222222222222
91,1.0,0.8611111111111112,0.7916666666666666
92,0.9722222222222222,1.0,0.5277777777777778
99,1.0,0.9305555555555556,0.7916666666666666
103,0.8611111111111112,0.9305555555555556,0.4027777777777778
104,0.9861111111111112,1.0,0.6388888888888888
105,1.0,1.0,0.5555555555555556
106,1.0,1.0,0.7222222222222222
107,0.9305555555555556,0.8055555555555556,0.7777777777777778
109,0.8888888888888888,0.9166666666666666,0.5694444444444444
113,0.9861111111111112,1.0,0.8194444444444444
114,1.0,1.0,0.8194444444444444
116,0.8472222222222222,0.8055555555555556,0.6805555555555556
117,1.0,0.9444444444444444,0.7361111111111112
121,0.9722222222222222,1.0,0.2638888888888889
124,0.9583333333333334,0.9722222222222222,0.5138888888888888
125,0.9305555555555556,1.0,0.6388888888888888
126,1.0,1.0,0.6944444444444444
129,1.0,0.9583333333333334,0.6944444444444444
131,0.9861111111111112,1.0,0.4444444444444444
135,1.0,0.7916666666666666,0.8611111111111112
136,1.0,0.875,0.7916666666666666
139,0.9444444444444444,0.9861111111111112,0.2916666666666667
140,1.0,1.0,0.3194444444444444
142,1.0,1.0,0.6388888888888888
143,1.0,1.0,0.6805555555555556
144,0.9027777777777778,1.0,0.4305555555555556
146,1.0,1.0,0.8055555555555556
147,1.0,0.7361111111111112,0.7222222222222222
148,1.0,1.0,0.8194444444444444
150,1.0,0.875,0.7777777777777778
151,1.0,0.8472222222222222,0.8472222222222222
152,1.0,1.0,0.6805555555555556
153,0.9444444444444444,0.8611111111111112,0.7083333333333334
155,1.0,1.0,0.3888888888888889
157,0.9305555555555556,0.9583333333333334,0.4861111111111111
158,0.9166666666666666,0.9444444444444444,0.4166666666666667
159,1.0,0.8611111111111112,0.7916666666666666
160,1.0,1.0,0.6388888888888888
163,1.0,0.9861111111111112,0.9583333333333334
165,1.0,0.9861111111111112,0.7083333333333334
169,0.9861111111111112,1.0,0.7222222222222222
170,0.9583333333333334,0.9583333333333334,0.3888888888888889
171,0.9583333333333334,1.0,0.5555555555555556
173,1.0,0.75,0.8611111111111112
174,0.9722222222222222,0.9166666666666666,0.6805555555555556
175,1.0,0.8194444444444444,0.9027777777777778
178,0.9444444444444444,0.9861111111111112,0.2638888888888889
179,1.0,0.7638888888888888,0.8888888888888888
181,0.9861111111111112,1.0,0.7638888888888888
182,1.0,1.0,0.875
183,0.9861111111111112,1.0,0.3472222222222222
184,1.0,0.8472222222222222,0.875
187,0.8472222222222222,0.9305555555555556,0.5555555555555556
191,0.9722222222222222,1.0,0.4027777777777778
192,1.0,0.8472222222222222,0.8333333333333334
193,1.0,1.0,0.8194444444444444
194,1.0,1.0,0.5277777777777778
195,1.0,0.9861111111111112,0.7222222222222222
197,0.9722222222222222,0.9861111111111112,0.625
198,1.0,1.0,0.4861111111111111
199,1.0,0.875,0.7916666666666666
200,1.0,0.9305555555555556,0.8055555555555556
202,1.0,0.9166666666666666,0.6527777777777778
204,1.0,1.0,0.6527777777777778
205,1.0,1.0,0.7361111111111112
206,1.0,1.0,0.5555555555555556
207,0.9861111111111112,0.9583333333333334,0.7916666666666666
208,1.0,0.8611111111111112,0.75
209,1.0,1.0,0.7083333333333334
210,1.0,1.0,0.8888888888888888
211,0.9722222222222222,1.0,0.7777777777777778
212,0.9861111111111112,1.0,0.3611111111111111
213,1.0,1.0,0.625
214,1.0,1.0,0.8611111111111112
215,1.0,0.9444444444444444,0.8472222222222222
216,1.0,0.9722222222222222,0.7777777777777778
217,0.9861111111111112,1.0,0.6944444444444444
218,1.0,0.8472222222222222,0.6805555555555556
219,1.0,1.0,0.7777777777777778
220,1.0,1.0,0.6805555555555556
221,1.0,0.875,0.6388888888888888
222,0.9166666666666666,0.9166666666666666,0.375
223,0.9444444444444444,0.8472222222222222,0.7361111111111112
224,0.9444444444444444,1.0,0.08333333333333333
225,1.0,1.0,0.7916666666666666
226,0.9861111111111112,1.0,0.2777777777777778
227,1.0,1.0,0.5277777777777778
228,1.0,0.9583333333333334,0.4166666666666667
229,1.0,0.9722222222222222,0.8194444444444444
231,1.0,1.0,0.9305555555555556
232,0.9861111111111112,0.9027777777777778,0.875
233,1.0,0.8472222222222222,0.9166666666666666
234,0.0,0.0,0.0
235,0.9861111111111112,1.0,0.375
236,0.9861111111111112,1.0,0.7083333333333334
237,1.0,1.0,0.8333333333333334
239,1.0,0.6944444444444444,0.6666666666666666
240,1.0,0.7638888888888888,0.8055555555555556
241,1.0,0.75,0.8194444444444444
242,0.9861111111111112,1.0,0.4027777777777778
243,0.9861111111111112,1.0,0.4027777777777778
244,1.0,1.0,0.20833333333333334
245,1.0,0.9861111111111112,0.7361111111111112
246,1.0,0.8333333333333334,0.6666666666666666
247,0.9861111111111112,1.0,0.5138888888888888
248,1.0,1.0,0.4305555555555556
249,1.0,1.0,0.4305555555555556
251,1.0,0.9722222222222222,0.6944444444444444
252,0.9861111111111112,0.9722222222222222,0.75
253,0.9305555555555556,0.9583333333333334,0.5138888888888888
254,0.9583333333333334,1.0,0.5694444444444444
256,0.9444444444444444,0.9861111111111112,0.6944444444444444
257,0.8611111111111112,0.9583333333333334,0.5138888888888888
258,1.0,1.0,0.9305555555555556
259,1.0,1.0,0.8472222222222222
260,1.0,1.0,0.6944444444444444
261,1.0,1.0,0.9861111111111112
262,0.9722222222222222,1.0,0.4583333333333333
263,1.0,1.0,0.7916666666666666
264,1.0,1.0,0.3888888888888889
