,HlyAirTmp (F),HlyRelHum (%),HlyWindSpd (MPH)
2,0.9722222222222222,1.0,0.5555555555555556
5,0.9722222222222222,1.0,0.6388888888888888
6,0.7638888888888888,1.0,0.2777777777777778
7,0.9583333333333334,1.0,0.5277777777777778
12,0.9027777777777778,1.0,0.2361111111111111
13,0.9722222222222222,1.0,0.4027777777777778
15,0.9722222222222222,1.0,0.6666666666666666
35,0.9722222222222222,1.0,0.375
39,1.0,0.8472222222222222,0.6666666666666666
41,0.9583333333333334,1.0,0.6111111111111112
43,0.7638888888888888,1.0,0.2777777777777778
44,1.0,0.9027777777777778,0.8194444444444444
47,0.0,0.0,0.2361111111111111
52,1.0,0.9583333333333334,0.5416666666666666
54,1.0,1.0,0.5972222222222222
56,0.7916666666666666,1.0,0.5416666666666666
57,0.9444444444444444,1.0,0.3611111111111111
62,1.0,0.6666666666666666,0.75
64,1.0,0.9305555555555556,0.7777777777777778
68,1.0,0.8888888888888888,0.8194444444444444
70,0.9583333333333334,1.0,0.3888888888888889
71,0.8611111111111112,1.0,0.4027777777777778
75,0.9861111111111112,0.8055555555555556,0.5
77,0.7222222222222222,1.0,0.25
78,0.9722222222222222,0.8472222222222222,0.5138888888888888
80,0.9583333333333334,1.0,0.6666666666666666
83,0.7777777777777778,0.9166666666666666,0.375
84,0.8888888888888888,1.0,0.3611111111111111
87,1.0,0.9444444444444444,0.75
88,0.9861111111111112,1.0,0.5416666666666666
90,0.9861111111111112,1.0,0.3611111111111111
91,0.8194444444444444,0.7916666666666666,0.5277777777777778
92,0.8472222222222222,1.0,0.4861111111111111
99,1.0,0.7777777777777778,0.5277777777777778
103,0.7361111111111112,0.9305555555555556,0.3055555555555556
104,0.8888888888888888,1.0,0.4444444444444444
105,0.8888888888888888,1.0,0.5416666666666666
106,0.8888888888888888,1.0,0.5138888888888888
107,0.9166666666666666,0.7916666666666666,0.6944444444444444
109,0.75,0.9166666666666666,0.5
113,0.9861111111111112,1.0,0.6805555555555556
114,0.9583333333333334,1.0,0.6527777777777778
116,0.4305555555555556,0.7083333333333334,0.4444444444444444
117,1.0,0.9166666666666666,0.6944444444444444
121,0.7222222222222222,1.0,0.2361111111111111
124,0.8055555555555556,0.9722222222222222,0.4444444444444444
125,0.8472222222222222,1.0,0.5694444444444444
126,0.9444444444444444,1.0,0.5416666666666666
129,0.8888888888888888,1.0,0.5555555555555556
131,0.9305555555555556,1.0,0.3611111111111111
135,0.9444444444444444,0.875,0.8333333333333334
136,1.0,0.9166666666666666,0.5694444444444444
139,0.7638888888888888,0.9861111111111112,0.2222222222222222
140,0.8333333333333334,1.0,0.2916666666666667
142,0.9166666666666666,1.0,0.3333333333333333
143,0.9583333333333334,1.0,0.5138888888888888
144,0.7777777777777778,1.0,0.3611111111111111
146,1.0,1.0,0.6111111111111112
147,0.9861111111111112,0.7361111111111112,0.5833333333333334
148,0.7638888888888888,1.0,0.8472222222222222
150,1.0,0.7638888888888888,0.6666666666666666
151,1.0,0.8472222222222222,0.7361111111111112
152,1.0,0.8888888888888888,0.5972222222222222
153,0.9861111111111112,0.8333333333333334,0.5833333333333334
155,0.7777777777777778,1.0,0.3194444444444444
157,0.8055555555555556,0.9583333333333334,0.4722222222222222
158,0.7083333333333334,0.9444444444444444,0.2777777777777778
159,1.0,0.8611111111111112,0.6527777777777778
160,1.0,0.9722222222222222,0.5416666666666666
163,1.0,1.0,0.75
165,1.0,1.0,0.5138888888888888
169,1.0,1.0,0.6388888888888888
170,0.6944444444444444,0.9583333333333334,0.3194444444444444
171,0.75,1.0,0.3472222222222222
173,1.0,0.5694444444444444,0.7777777777777778
174,0.9305555555555556,0.9305555555555556,0.5555555555555556
175,1.0,0.8611111111111112,0.8194444444444444
178,0.7083333333333334,0.9861111111111112,0.19444444444444445
179,1.0,0.9305555555555556,0.8888888888888888
181,0.9861111111111112,0.9861111111111112,0.7083333333333334
182,0.9722222222222222,0.9861111111111112,0.7361111111111112
183,0.9166666666666666,1.0,0.25
184,1.0,0.7361111111111112,0.8333333333333334
187,0.7638888888888888,0.9305555555555556,0.4722222222222222
191,0.7638888888888888,1.0,0.3194444444444444
192,1.0,0.8888888888888888,0.75
193,0.8888888888888888,0.9861111111111112,0.6527777777777778
194,0.8194444444444444,1.0,0.5138888888888888
195,0.9583333333333334,1.0,0.5555555555555556
197,1.0,1.0,0.6111111111111112
198,0.9861111111111112,1.0,0.6111111111111112
199,1.0,0.8611111111111112,0.6527777777777778
200,0.9722222222222222,0.9166666666666666,0.6666666666666666
202,1.0,0.8611111111111112,0.4861111111111111
204,1.0,0.9722222222222222,0.5972222222222222
205,1.0,1.0,0.5972222222222222
206,0.8472222222222222,1.0,0.5
207,0.9861111111111112,1.0,0.6527777777777778
208,0.9861111111111112,0.8888888888888888,0.6111111111111112
209,0.8611111111111112,1.0,0.3611111111111111
210,0.9861111111111112,1.0,0.5416666666666666
211,0.875,1.0,0.7638888888888888
212,0.8194444444444444,1.0,0.3472222222222222
213,0.9305555555555556,1.0,0.5138888888888888
214,0.9722222222222222,1.0,0.7638888888888888
215,1.0,0.8888888888888888,0.7222222222222222
216,1.0,0.8472222222222222,0.625
217,0.9027777777777778,0.8333333333333334,0.5416666666666666
218,0.9305555555555556,0.9166666666666666,0.5694444444444444
219,1.0,0.9027777777777778,0.6527777777777778
220,0.9861111111111112,1.0,0.625
221,0.9722222222222222,0.8611111111111112,0.5694444444444444
222,0.7916666666666666,0.9166666666666666,0.2361111111111111
223,0.9166666666666666,0.7777777777777778,0.6111111111111112
224,0.9166666666666666,1.0,0.125
225,0.8055555555555556,1.0,0.5138888888888888
226,0.8472222222222222,1.0,0.2222222222222222
227,0.9166666666666666,1.0,0.5555555555555556
228,0.9444444444444444,1.0,0.3055555555555556
229,0.9444444444444444,0.9583333333333334,0.7222222222222222
231,0.9861111111111112,0.9583333333333334,0.9861111111111112
232,0.9722222222222222,0.9027777777777778,0.7638888888888888
233,1.0,0.8472222222222222,0.875
234,0.0,0.0,0.0
235,0.7777777777777778,1.0,0.3333333333333333
236,0.75,1.0,0.4027777777777778
237,1.0,0.8333333333333334,0.5972222222222222
239,0.9861111111111112,0.6111111111111112,0.2638888888888889
240,0.9305555555555556,0.7222222222222222,0.7361111111111112
241,0.9722222222222222,0.6944444444444444,0.7083333333333334
242,0.8194444444444444,1.0,0.3472222222222222
243,0.6944444444444444,1.0,0.3611111111111111
244,0.8888888888888888,1.0,0.19444444444444445
245,1.0,0.8194444444444444,0.6666666666666666
246,1.0,0.9305555555555556,0.5972222222222222
247,0.7638888888888888,1.0,0.4444444444444444
248,0.8611111111111112,1.0,0.375
249,0.8055555555555556,1.0,0.3611111111111111
251,1.0,0.9583333333333334,0.6666666666666666
252,0.9861111111111112,1.0,0.5555555555555556
253,0.7638888888888888,0.9583333333333334,0.4444444444444444
254,0.7777777777777778,1.0,0.4444444444444444
256,1.0,1.0,0.6111111111111112
257,0.875,1.0,0.4444444444444444
258,1.0,1.0,0.5416666666666666
259,0.9861111111111112,1.0,0.6527777777777778
260,0.8055555555555556,1.0,0.4166666666666667
261,0.8333333333333334,1.0,0.3888888888888889
262,0.75,1.0,0.4305555555555556
263,0.8888888888888888,1.0,0.19444444444444445
264,0.9583333333333334,1.0,0.2916666666666667
