,HlyAirTmp (F),HlyRelHum (%),HlyWindSpd (MPH)
2,0.9821428571428571,1.0,0.8988095238095238
5,0.9642857142857143,1.0,0.9464285714285714
6,1.0,1.0,0.6607142857142857
7,0.9880952380952381,1.0,0.9166666666666666
12,1.0,1.0,0.8690476190476191
13,1.0,0.9464285714285714,0.8988095238095238
15,1.0,1.0,0.9464285714285714
35,0.9226190476190477,0.9583333333333334,0.9583333333333334
39,0.9821428571428571,0.22023809523809523,0.9821428571428571
41,1.0,1.0,0.9583333333333334
43,1.0,1.0,0.8154761904761905
44,0.9523809523809523,0.9940476190476191,0.8928571428571429
47,0.375,0.4880952380952381,0.7916666666666666
52,0.9821428571428571,1.0,0.8869047619047619
54,0.9583333333333334,1.0,1.0
56,0.9523809523809523,1.0,0.8809523809523809
57,0.9940476190476191,1.0,0.9285714285714286
62,1.0,0.9345238095238095,0.9642857142857143
64,0.9880952380952381,0.9880952380952381,0.9880952380952381
68,1.0,0.9642857142857143,0.9642857142857143
70,0.9464285714285714,1.0,0.9107142857142857
71,1.0,1.0,0.8869047619047619
75,0.9583333333333334,0.9761904761904762,0.9642857142857143
77,1.0,1.0,0.8392857142857143
78,0.9523809523809523,1.0,0.9880952380952381
80,1.0,1.0,0.9940476190476191
83,0.9642857142857143,0.9642857142857143,0.8869047619047619
84,1.0,1.0,0.9821428571428571
87,1.0,1.0,0.9761904761904762
88,0.9761904761904762,1.0,0.8511904761904762
90,1.0,0.9940476190476191,0.9583333333333334
91,0.9761904761904762,0.9166666666666666,1.0
92,0.9821428571428571,1.0,0.8690476190476191
99,0.9821428571428571,0.9821428571428571,0.9761904761904762
103,0.9702380952380952,0.9702380952380952,0.8095238095238095
104,0.9821428571428571,1.0,1.0
105,1.0,1.0,0.9107142857142857
106,1.0,1.0,0.9880952380952381
107,0.8928571428571429,0.8928571428571429,0.9940476190476191
109,0.9642857142857143,0.9642857142857143,0.9404761904761905
113,0.9702380952380952,1.0,0.9464285714285714
114,0.9702380952380952,1.0,0.9702380952380952
116,0.047619047619047616,0.4107142857142857,0.3333333333333333
117,1.0,1.0,0.9226190476190477
