,HlyAirTmp (F),HlyRelHum (%),HlyWindSpd (MPH)
2,1.0,1.0,0.8611111111111112
5,1.0,0.9861111111111112,0.9861111111111112
6,1.0,1.0,0.4583333333333333
7,1.0,1.0,0.9722222222222222
12,0.875,1.0,0.7361111111111112
13,0.9583333333333334,0.9861111111111112,0.9722222222222222
15,1.0,1.0,0.9305555555555556
35,0.9861111111111112,1.0,0.9583333333333334
39,1.0,0.8472222222222222,1.0
41,1.0,0.8888888888888888,0.8611111111111112
43,0.8611111111111112,1.0,0.6944444444444444
44,1.0,0.9166666666666666,0.9722222222222222
47,0.0,0.0,0.5138888888888888
52,1.0,1.0,0.9861111111111112
54,0.9861111111111112,1.0,1.0
56,0.8194444444444444,1.0,0.7361111111111112
57,1.0,1.0,0.8472222222222222
62,1.0,0.7361111111111112,0.9027777777777778
64,1.0,1.0,0.9722222222222222
68,1.0,0.9722222222222222,0.9583333333333334
70,0.9166666666666666,1.0,0.7222222222222222
71,0.9722222222222222,1.0,0.7638888888888888
75,0.9861111111111112,0.7916666666666666,0.9444444444444444
77,0.6527777777777778,1.0,0.6805555555555556
78,1.0,1.0,0.9305555555555556
80,1.0,1.0,1.0
83,0.8333333333333334,0.9166666666666666,0.7361111111111112
84,1.0,1.0,0.9583333333333334
87,1.0,0.9444444444444444,0.9583333333333334
88,1.0,1.0,0.9027777777777778
90,1.0,1.0,0.7638888888888888
91,1.0,0.8611111111111112,0.7361111111111112
92,0.9861111111111112,1.0,0.7222222222222222
99,1.0,0.7916666666666666,0.9583333333333334
103,0.6527777777777778,0.9305555555555556,0.5694444444444444
104,0.9722222222222222,1.0,1.0
105,0.8055555555555556,1.0,0.9305555555555556
106,0.9444444444444444,1.0,1.0
107,0.9305555555555556,0.9305555555555556,0.9722222222222222
109,0.7777777777777778,0.9166666666666666,0.8194444444444444
113,1.0,1.0,0.9861111111111112
114,1.0,1.0,1.0
116,0.5555555555555556,0.8611111111111112,0.6805555555555556
117,1.0,1.0,0.9444444444444444
121,0.875,1.0,0.375
124,0.7222222222222222,0.9722222222222222,0.7777777777777778
125,1.0,1.0,0.7777777777777778
126,1.0,1.0,0.9583333333333334
129,1.0,1.0,0.9305555555555556
131,0.8194444444444444,0.9722222222222222,0.7777777777777778
135,1.0,0.9861111111111112,0.9722222222222222
136,1.0,1.0,0.9722222222222222
139,0.8333333333333334,0.9861111111111112,0.5555555555555556
140,0.8055555555555556,1.0,0.4305555555555556
142,0.9722222222222222,1.0,0.9861111111111112
143,0.9861111111111112,1.0,0.9166666666666666
144,0.6944444444444444,1.0,0.6944444444444444
146,1.0,1.0,0.9861111111111112
147,1.0,0.7638888888888888,0.8611111111111112
148,0.9861111111111112,1.0,0.9861111111111112
150,1.0,0.9722222222222222,1.0
151,1.0,0.8888888888888888,0.8888888888888888
152,1.0,1.0,0.9027777777777778
