,HlyAirTmp (F),HlyRelHum (%),HlyWindSpd (MPH)
2,1.0,1.0,0.9861111111111112
5,1.0,1.0,1.0
6,0.9722222222222222,1.0,0.6805555555555556
7,1.0,1.0,1.0
12,1.0,1.0,1.0
13,1.0,1.0,1.0
15,1.0,1.0,1.0
35,1.0,1.0,1.0
39,1.0,0.7916666666666666,1.0
41,1.0,1.0,0.9583333333333334
43,0.7638888888888888,1.0,0.9305555555555556
44,1.0,0.9861111111111112,1.0
47,0.0,0.0,0.7222222222222222
52,1.0,1.0,1.0
54,1.0,1.0,1.0
56,1.0,1.0,0.8472222222222222
57,1.0,1.0,1.0
62,1.0,0.75,0.9027777777777778
64,1.0,1.0,1.0
68,1.0,1.0,1.0
70,0.8888888888888888,1.0,0.9861111111111112
71,1.0,1.0,0.9722222222222222
75,0.9861111111111112,0.9861111111111112,1.0
77,0.9305555555555556,1.0,0.9722222222222222
78,1.0,1.0,1.0
80,1.0,1.0,1.0
83,0.9027777777777778,0.9166666666666666,0.9305555555555556
84,0.9166666666666666,1.0,1.0
87,1.0,1.0,1.0
88,1.0,1.0,0.8472222222222222
90,1.0,1.0,0.9444444444444444
91,1.0,0.8611111111111112,0.8888888888888888
92,1.0,1.0,0.8472222222222222
99,1.0,1.0,1.0
103,0.9305555555555556,0.9305555555555556,0.7222222222222222
104,1.0,1.0,1.0
105,1.0,1.0,1.0
106,1.0,1.0,1.0
107,0.9305555555555556,0.9305555555555556,1.0
109,0.9166666666666666,0.9166666666666666,0.9583333333333334
113,1.0,1.0,1.0
114,1.0,1.0,0.9583333333333334
116,0.8888888888888888,0.875,1.0
117,1.0,1.0,1.0
121,0.9861111111111112,1.0,0.7777777777777778
124,0.9166666666666666,0.9722222222222222,0.9444444444444444
125,1.0,1.0,0.8333333333333334
126,1.0,1.0,1.0
129,1.0,1.0,0.9583333333333334
131,0.9861111111111112,1.0,0.9722222222222222
135,1.0,1.0,1.0
136,1.0,1.0,1.0
139,0.8055555555555556,0.9861111111111112,0.7916666666666666
140,1.0,1.0,0.7083333333333334
142,1.0,1.0,1.0
143,1.0,1.0,1.0
144,0.9861111111111112,1.0,0.7222222222222222
146,1.0,1.0,1.0
147,1.0,1.0,0.9305555555555556
148,1.0,1.0,0.9583333333333334
150,1.0,1.0,1.0
151,1.0,1.0,1.0
152,1.0,1.0,1.0
153,1.0,1.0,0.9305555555555556
155,0.875,1.0,0.5555555555555556
157,0.8472222222222222,0.9583333333333334,0.8333333333333334
158,0.875,0.9444444444444444,1.0
159,1.0,1.0,1.0
160,1.0,1.0,0.9861111111111112
163,1.0,1.0,1.0
165,1.0,1.0,0.9722222222222222
169,1.0,1.0,0.9861111111111112
170,0.9166666666666666,0.9583333333333334,0.8888888888888888
171,1.0,1.0,0.9722222222222222
173,1.0,1.0,1.0
174,1.0,1.0,1.0
175,1.0,1.0,1.0
178,0.9305555555555556,0.9861111111111112,0.875
179,1.0,1.0,0.9861111111111112
181,1.0,1.0,1.0
182,1.0,1.0,1.0
183,1.0,1.0,0.4444444444444444
184,1.0,1.0,1.0
187,0.9305555555555556,0.9305555555555556,0.8194444444444444
191,1.0,1.0,0.8611111111111112
192,1.0,1.0,1.0
193,0.9027777777777778,1.0,1.0
194,1.0,1.0,0.9166666666666666
195,0.9166666666666666,1.0,1.0
197,1.0,0.9444444444444444,0.8194444444444444
198,1.0,1.0,0.9722222222222222
199,1.0,1.0,1.0
200,1.0,1.0,1.0
202,1.0,1.0,0.8055555555555556
204,1.0,1.0,0.9166666666666666
205,1.0,1.0,0.9861111111111112
206,1.0,1.0,0.8611111111111112
207,1.0,1.0,1.0
208,1.0,1.0,1.0
209,0.9861111111111112,1.0,0.9444444444444444
210,1.0,1.0,1.0
211,1.0,1.0,0.9861111111111112
212,1.0,1.0,0.6666666666666666
213,0.9444444444444444,1.0,1.0
214,1.0,1.0,1.0
215,1.0,0.9166666666666666,1.0
216,1.0,0.9305555555555556,0.9861111111111112
217,1.0,0.9861111111111112,0.9583333333333334
218,0.9861111111111112,1.0,1.0
219,1.0,0.875,1.0
220,1.0,1.0,0.9444444444444444
221,1.0,0.9583333333333334,0.9583333333333334
222,0.8888888888888888,0.9166666666666666,0.9166666666666666
223,0.9722222222222222,0.9722222222222222,1.0
224,1.0,1.0,0.9305555555555556
225,1.0,1.0,0.9305555555555556
226,1.0,1.0,0.8472222222222222
227,1.0,1.0,1.0
228,0.9722222222222222,1.0,1.0
229,1.0,1.0,1.0
231,1.0,1.0,1.0
232,1.0,1.0,1.0
233,1.0,1.0,1.0
234,0.0,0.0,0.0
235,0.9166666666666666,1.0,0.6944444444444444
236,1.0,1.0,0.9444444444444444
237,1.0,0.9444444444444444,1.0
239,1.0,1.0,0.9444444444444444
240,1.0,1.0,1.0
241,1.0,1.0,0.9722222222222222
242,1.0,1.0,0.7083333333333334
243,1.0,1.0,0.5
244,0.9583333333333334,1.0,0.9166666666666666
245,1.0,1.0,0.9861111111111112
246,1.0,1.0,0.9861111111111112
247,1.0,1.0,0.6527777777777778
248,0.9305555555555556,1.0,0.7777777777777778
249,0.9305555555555556,1.0,0.9722222222222222
251,1.0,1.0,1.0
252,1.0,1.0,1.0
253,0.9027777777777778,0.9583333333333334,0.9861111111111112
254,1.0,1.0,0.8055555555555556
256,1.0,1.0,0.7916666666666666
257,1.0,1.0,0.8888888888888888
258,1.0,1.0,1.0
259,0.9861111111111112,1.0,1.0
260,1.0,1.0,0.875
261,0.9861111111111112,1.0,0.8472222222222222
262,0.9583333333333334,1.0,0.7083333333333334
263,0.9722222222222222,1.0,0.9027777777777778
264,1.0,1.0,0.7777777777777778
