,HlyAirTmp (F),HlyRelHum (%),HlyWindSpd (MPH)
2,1.0,1.0,0.9166666666666666
5,1.0,1.0,0.9861111111111112
6,0.9305555555555556,1.0,0.4583333333333333
7,1.0,1.0,0.9861111111111112
12,1.0,1.0,0.9305555555555556
13,0.9861111111111112,1.0,0.875
15,1.0,1.0,0.9166666666666666
35,1.0,1.0,0.9166666666666666
39,1.0,0.9861111111111112,0.9861111111111112
41,1.0,0.9305555555555556,0.8888888888888888
43,0.8055555555555556,1.0,0.6805555555555556
44,1.0,1.0,1.0
47,0.0,0.0,0.5277777777777778
52,1.0,0.875,1.0
54,1.0,1.0,1.0
56,1.0,1.0,0.7222222222222222
57,1.0,1.0,0.875
62,1.0,1.0,0.9027777777777778
64,1.0,1.0,1.0
68,1.0,0.9722222222222222,0.9166666666666666
70,0.8888888888888888,1.0,0.6111111111111112
71,0.9583333333333334,1.0,0.6805555555555556
75,0.9861111111111112,0.9861111111111112,1.0
77,0.9861111111111112,1.0,0.5
78,1.0,1.0,0.9305555555555556
80,1.0,1.0,1.0
83,0.8055555555555556,0.9166666666666666,0.5555555555555556
84,0.9166666666666666,1.0,0.9444444444444444
87,1.0,1.0,1.0
88,1.0,1.0,0.7222222222222222
90,1.0,1.0,0.7916666666666666
91,1.0,0.8611111111111112,0.875
92,0.9722222222222222,1.0,0.7222222222222222
99,1.0,1.0,0.9583333333333334
103,0.8333333333333334,0.9305555555555556,0.5
104,1.0,1.0,1.0
105,1.0,1.0,0.9583333333333334
106,1.0,1.0,1.0
107,0.9305555555555556,0.9305555555555556,0.9861111111111112
109,0.875,0.9166666666666666,0.8611111111111112
113,1.0,1.0,0.9861111111111112
114,1.0,1.0,0.9583333333333334
116,0.6805555555555556,0.9027777777777778,0.875
117,1.0,1.0,0.9166666666666666
121,0.9722222222222222,1.0,0.4444444444444444
124,0.8472222222222222,0.9722222222222222,0.7777777777777778
125,0.9861111111111112,1.0,0.7361111111111112
126,1.0,1.0,0.9583333333333334
129,0.9861111111111112,1.0,0.9166666666666666
131,0.9861111111111112,1.0,0.7777777777777778
135,1.0,0.9861111111111112,1.0
136,1.0,1.0,0.9444444444444444
139,0.9861111111111112,0.9861111111111112,0.4861111111111111
140,0.9722222222222222,1.0,0.4444444444444444
142,1.0,1.0,0.9583333333333334
143,1.0,1.0,0.9166666666666666
144,0.9861111111111112,1.0,0.6666666666666666
146,1.0,1.0,0.9861111111111112
147,1.0,1.0,0.8611111111111112
148,1.0,1.0,0.9166666666666666
150,1.0,1.0,1.0
151,1.0,0.9861111111111112,1.0
152,1.0,1.0,0.8611111111111112
153,1.0,0.9722222222222222,0.8472222222222222
155,1.0,1.0,0.4027777777777778
157,0.7222222222222222,0.9583333333333334,0.8055555555555556
158,0.8472222222222222,0.9444444444444444,0.9166666666666666
159,1.0,1.0,0.8888888888888888
160,1.0,1.0,0.9444444444444444
163,1.0,1.0,1.0
165,1.0,1.0,0.9166666666666666
169,1.0,1.0,0.9722222222222222
170,0.8611111111111112,0.9583333333333334,0.7638888888888888
171,1.0,1.0,0.7638888888888888
173,1.0,0.9861111111111112,0.9861111111111112
174,1.0,1.0,0.9027777777777778
175,1.0,1.0,1.0
178,0.9166666666666666,0.9861111111111112,0.6805555555555556
179,1.0,1.0,0.9722222222222222
181,1.0,1.0,0.8888888888888888
182,1.0,1.0,1.0
183,1.0,1.0,0.4166666666666667
184,1.0,1.0,1.0
187,0.9305555555555556,0.9305555555555556,0.7083333333333334
191,1.0,1.0,0.6527777777777778
192,1.0,0.9861111111111112,1.0
193,0.8888888888888888,1.0,1.0
194,0.9027777777777778,1.0,0.7222222222222222
