Station,Prob of Crossing,Actual Crossing Count
2,0.088,0.0
5,0.01,0.0
6,0.966,4.0
7,0.1,0.0
12,0.156,0.0
13,0.0,0.0
15,0.032,0.0
35,0.002,0.0
39,0.006,0.0
41,0.034,0.0
43,0.002,0.0
44,0.432,0.0
47,0.588,0.0
52,0.06,0.0
54,0.004,0.0
56,0.182,0.0
57,0.002,0.0
62,0.388,1.0
64,0.142,0.0
68,0.134,0.0
70,0.11,1.0
71,0.142,0.0
75,0.378,0.0
77,0.556,0.0
78,0.316,0.0
80,0.072,0.0
83,0.322,0.0
84,0.174,0.0
87,0.074,0.0
88,0.014,6.0
90,0.006,0.0
91,0.0,0.0
92,0.222,2.0
99,0.37,0.0
103,0.336,0.0
104,0.186,0.0
105,0.188,0.0
106,0.058,0.0
107,0.142,0.0
109,0.098,0.0
113,0.058,0.0
114,0.072,0.0
116,0.096,2.0
117,0.004,0.0
121,0.61,0.0
124,0.194,0.0
125,0.094,12.0
126,0.2,0.0
129,0.194,3.0
131,0.35,0.0
135,0.132,0.0
136,0.068,0.0
139,0.818,0.0
140,0.464,0.0
142,0.13,0.0
143,0.266,2.0
144,0.404,1.0
146,0.094,0.0
147,0.26,0.0
148,0.162,0.0
150,0.208,0.0
151,0.104,0.0
152,0.308,9.0
153,0.13,0.0
155,0.108,0.0
157,0.26,0.0
158,0.214,0.0
159,0.306,0.0
160,0.102,3.0
163,0.008,0.0
165,0.014,0.0
169,0.004,0.0
170,0.142,0.0
171,0.142,0.0
173,0.026,0.0
174,0.024,0.0
175,0.032,0.0
178,0.202,0.0
179,0.01,0.0
181,0.032,0.0
182,0.008,0.0
183,0.024,0.0
184,0.074,0.0
187,0.304,1.0
191,0.31,0.0
192,0.006,0.0
193,0.0,0.0
194,0.138,0.0
195,0.036,0.0
197,0.0,0.0
198,0.34,11.0
199,0.028,0.0
200,0.062,0.0
202,0.014,0.0
204,0.256,17.0
205,0.012,0.0
206,0.168,4.0
207,0.108,0.0
208,0.082,0.0
209,0.148,1.0
210,0.036,0.0
211,0.166,5.0
212,0.106,0.0
213,0.09,0.0
214,0.048,0.0
215,0.418,2.0
216,0.37,0.0
217,0.292,10.0
218,0.018,0.0
219,0.356,0.0
220,0.396,0.0
221,0.428,3.0
222,0.494,1.0
223,0.172,0.0
224,0.102,0.0
225,0.002,0.0
226,0.528,0.0
227,0.006,0.0
228,0.002,0.0
229,0.026,0.0
231,0.01,0.0
232,0.016,0.0
233,0.02,0.0
234,0.994,0.0
235,0.04,0.0
236,0.004,0.0
237,0.114,0.0
239,0.002,0.0
240,0.05,0.0
241,0.126,0.0
242,0.21,1.0
243,0.258,3.0
244,0.086,0.0
245,0.286,0.0
246,0.01,0.0
247,0.232,0.0
248,0.174,3.0
249,0.07,0.0
251,0.094,0.0
252,0.046,0.0
253,0.05,0.0
254,0.15,1.0
256,0.002,5.0
257,0.138,1.0
258,0.34,0.0
259,0.002,0.0
260,0.006,0.0
261,0.0,0.0
262,0.192,3.0
263,0.0,0.0
264,0.016,0.0
