Circuit,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),FPI Value,Reasons for De-Energization,month,days,year
ANTON,SCE Magic Mountain Truck Trail,35,53,31/46,13.88, Exceeded Threshold 99th Percentile Exceeded  FPI Value,Sept,5-11,2020
BOOTLEGGER,SCE Antelope Valley Fwy,16,41,31/46,13.98, Exceeded Threshold  FPI Value,Sept,5-11,2020
LOUCKS,SCE Antelope Valley Fwy,16,37,31/46,14.77, Exceeded Threshold  FPI Value,Sept,5-11,2020
RED BOX,Chilao (CHOC1),16,46,31/46,14.01, Exceeded Threshold  FPI Value,Sept,5-11,2020
SHOVEL,SCE Antelope Valley Fwy,16,37,31/46,14.84, Exceeded Threshold  FPI Value,Sept,5-11,2020
SAND CANYON,SCE Magic Mountain Truck Trail,35,53,31/46,99th Percentile Exceeded, Exceeded Threshold  FPI Value,Sept,5-11,2020
ENERGY,SCE Santa Susana Pass Rd,16.9,43.8,31/46,13.04,High Wind Trend Exceeded FPI,Nov,29,2020
SAND CANYON,SCE Magic Mtn Truck Trail,30.6,40.3,31/46,12.11,High Wind Trend Exceeded FPI,Nov,29,2020
DUKE,SCE Mount Davis,26.9,40.6,30/46,13.04,High Wind Trend Exceeded FPI,Nov,29,2020
GRAPEVINE PEAK,Grapevine CHP (AT714),9,15,31/46,12.08,High Wind Trend Exceeded FPI,Nov,29,2020
NAPOLEON,SCE Lamb Canyon Landfall,24.8,39.1,31/45,14.04,High Wind Trend Exceeded FPI,Nov,29,2020
FROZEN,Grapevine Peak (RAWS) GVPC1,26,35,31/46,12.03,High Wind Trend Exceeded FPI,Nov,29,2020
CUDDEBACK,SCE Cummings Valley,23,32.7,23/37,12.15,Exceeded Threshold Exceeded FPI,Nov,29,2020
METTLER,SCE Cummings Valley,23,32.7,23/37,12.15,Exceeded Threshold Exceeded FPI,Nov,29,2020
STEEL,SCE Badlands,24.5,42.2,30/43,13,Exceeded FPI,Nov,29,2020
ANTON,SCE Happy Camp Rd,23.5,40.1,31/46,14.03,High Wind Trend Exceeded FPI,Nov,29,2020
ZONE,SCE Long Canyon,22.6,38.4,31/46,13.01,High Wind Trend Exceeded FPI,Nov,29,2020
TANAGER,SCE Cummings Valley,24.3,34.3,31/44,12.18,High Wind Trend Exceeded FPI,Nov,29,2020
CONDOR,SCE Cummings Valley,26,37.6,31/46,14.1,High Wind Trend Exceeded FPI,Nov,29,2020
RAINBOW,SCE South Mountain,26.5,34.7,31/46,13.01,High Wind Trend Exceeded FPI,Nov,29,2020
BALCOM,SCE South Mountain,26.5,34.7,31/46,12.95,High Wind Trend Exceeded FPI,Nov,29,2020
CUDDEBACK,SCE Reeves St,19.2,31.6,23/37,12.15,High Wind Trend Exceeded FPI,Nov,29,2020
DYSART,SCE Old Banning Idyllwind Rd,25.6,47.8,31/46,12.16,Exceeded Threshold Exceeded FPI,Nov,29,2020
SADDLEBACK,SCE Old Banning Idyllwind Rd,25.6,47.8,31/46,12.07,Exceeded Threshold Exceeded FPI,Nov,29,2020
BONNEVILLE,SCE Ramona Expy,11.1,36,28/40,12,High Wind Trend Exceeded FPI,Nov,29,2020
EASTER,SCE Ramona/ Hwy79,23.5,37.9,29/41,12.97,High Wind Trend Exceeded FPI,Nov,29,2020
SAVORY,SCE Ramona/ Hwy79,23.5,37.9,29/42,13.97,High Wind Trend Exceeded FPI,Nov,29,2020
DARTMOUTH,SCE Soboba Rd,18.1,38.8,31/45,13.02,High Wind Trend Exceeded FPI,Nov,29,2020
METTLER,SCE Golden Hills Blvd,22.1,33.6,23/37,12.15,High Wind Trend Exceeded FPI,Nov,29,2020
GINGER,SCE Moreno Valley Fwy,20.3,32.2,28/40,12.02,High Wind Trend Exceeded FPI,Nov,29,2020
GNATCATCHER,SCE Cummings Valley,24.7,41.7,31/46,13.53,High Wind Trend Exceeded FPI,Nov,29,2020
ATENTO,SCE Baker Canyon,19.4,38.4,31/46,13.01,High Wind Trend Exceeded FPI,Nov,29,2020
LAUDA,SCE State St,22.9,38.7,31/45,13.02,High Wind Trend Exceeded FPI,Nov,29,2020
STEEL,SCE Ramona/ Hwy79,7.9,28.8,30/43,13,High Wind Trend Exceeded FPI,Nov,29,2020
GILMAN,SCE Massacre Canyon,7.9,28.8,31/45,13.02,High Wind Trend Exceeded FPI,Nov,29,2020
COBRA,SCE Solemint Mtwy,28.2,42,31/42,12.05,High Wind Trend Exceeded FPI,Nov,29,2020
BLUE CUT,SCE Cajon Pass,20.7,42.7,31/46,12,High Wind Trend Exceeded FPI,Nov,29,2020
RED BOX,CHILAO (CHOC1),38,49,31/46,13.02,Exceeded Threshold Exceeded FPI,Nov,29,2020
WOBEGONE,SCE Lakeview Ave E,25.1,37,28/40,12.02,High Wind Trend Exceeded FPI,Nov,29,2020
TAHQUITZ,SCE Apple Canyon,21.8,39.7,31/46,13.47,High Wind Trend Exceeded FPI,Nov,29,2020
RAINBOW,SCE Bixby Rd,21.9,40.4,31/46,13.01,High Wind Trend Exceeded FPI,Nov,29,2020
