Utility,Outage Start,Full Restoration,Outage Duration,Outage Days,Outage Hours,Circuit,Hftd,Total Customers Impacted,Residential Customers,Commercial/Industrial Customers,Medical Baseline Customers,Other Customers,Residential,Commercial,Medical,Other
SCE,2019-01-01 02:27:00,2019-01-01 17:08:00,"0 days,14 hrs,41 min",0.6118055555562023,14.683333333348855,TAIWAIN,XXX,34.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-09-24 14:46:00,2019-09-24 20:34:00,"0 days,5 hrs,48 min",0.24166666666860692,5.800000000046566,SADDLEBACK,TIER 3,9.0,9.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-09-24 14:46:00,2019-09-24 20:34:00,"0 days,5 hrs,48 min",0.24166666666860692,5.800000000046566,DYSART,TIER 3,76.0,76.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-09 11:57:00,2019-10-09 19:41:00,"0 days,7 hrs,44 min",0.32222222222480923,7.7333333333954215,CANEBRAKE,Tier 2/Tier 3,63.0,63.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-09 15:13:00,2019-10-09 19:27:00,"0 days,4 hrs,14 min",0.17638888888905058,4.233333333337214,CANEBRAKE,Tier 2/Tier 3,122.0,101.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-09 19:19:00,2019-10-12 10:05:00,"2 days,14 hrs,46 min",2.6152777777824667,62.7666666667792,CLUB OAKS,Tier 2/Tier 3,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-09 20:05:00,2019-10-09 20:06:00,"0 days,0 hrs,1 min",0.0006944444467080757,0.016666666720993817,CANEBRAKE,Tier 2/Tier 3,61.0,61.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-09 20:05:00,2019-10-10 20:34:00,"1 days,0 hrs,29 min",1.0201388888890506,24.483333333337214,CANEBRAKE,Tier 2/Tier 3,2.0,2.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-09 20:05:00,2019-10-10 20:34:00,"1 days,0 hrs,29 min",1.0201388888890506,24.483333333337214,HORSE MOUNTAIN (FED BY CANEBRAKE),Tier 2 ,1.0,1.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-10 06:55:00,2019-10-11 16:54:00,"1 days,9 hrs,59 min",1.4159722222248092,33.98333333339542,CALSTATE,Tier 2/Tier 3,10.0,6.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-10 08:11:00,2019-10-11 17:44:00,"1 days,9 hrs,33 min",1.397916666668607,33.550000000046566,CASMALIA,Tier 2/Tier 3,662.0,603.0,0.0,10.0,0.0,True,False,True,False
SCE,2019-10-10 08:14:00,2019-10-12 10:05:00,"2 days,1 hrs,51 min",2.077083333337214,49.85000000009313,ACOSTA,Tier 2/Tier 3,5.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-10 08:14:00,2019-10-11 16:04:00,"1 days,7 hrs,50 min",1.3263888888905058,31.83333333337214,MORA,Tier 2/Tier 3,2459.0,2341.0,0.0,45.0,0.0,True,False,True,False
SCE,2019-10-10 08:35:00,2019-10-11 15:36:00,"1 days,7 hrs,1 min",1.2923611111109494,31.016666666662786,HUCKLEBERRY,Tier 3,4.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-10 08:43:00,2019-10-11 19:30:00,"1 days,10 hrs,47 min",1.4493055555576575,34.78333333338378,SHOVEL,Tier 3,772.0,730.0,0.0,14.0,0.0,True,False,True,False
SCE,2019-10-10 09:10:00,2019-10-11 18:46:00,"1 days,9 hrs,36 min",1.4000000000014552,33.600000000034925,ANTON,Tier 3,49.0,41.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-10 09:15:00,2019-10-11 18:14:00,"1 days,8 hrs,59 min",1.3743055555605679,32.98333333345363,ENERGY,Tier 3,625.0,601.0,0.0,5.0,0.0,True,False,True,False
SCE,2019-10-10 09:28:00,2019-10-11 17:29:00,"1 days,8 hrs,1 min",1.3340277777824667,32.0166666667792,TAPO,Tier 3,57.0,44.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-10 09:56:00,2019-10-11 10:08:00,"1 days,0 hrs,12 min",1.008333333331393,24.199999999953434,ZONE,Tier 3,56.0,52.0,0.0,1.0,0.0,True,False,True,False
SCE,2019-10-10 10:36:00,2019-10-11 20:01:00,"1 days,9 hrs,25 min",1.3923611111094942,33.41666666662786,SAND CANYON,Tier 3,8.0,3.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-10 11:00:00,2019-10-11 16:29:00,"1 days,5 hrs,29 min",1.2284722222175333,29.4833333332208,LOUCKS PT (FED BY DAVENPORT),Tier 3,56.0,56.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-10 11:00:00,2019-10-11 16:29:00,"1 days,5 hrs,29 min",1.2284722222175333,29.4833333332208,DAVENPORT,Tier 3,2728.0,1386.0,0.0,23.0,0.0,True,False,True,False
SCE,2019-10-10 11:01:00,2019-10-11 15:04:00,"1 days,4 hrs,3 min",1.1687500000043656,28.050000000104774,RAINBOW,Tier 2/Tier 3,18.0,18.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-10 11:17:00,2019-10-11 13:22:00,"1 days,2 hrs,5 min",1.0868055555547471,26.08333333331393,BUCKHORN,Tier 2/Tier 3,86.0,68.0,0.0,1.0,0.0,True,False,True,False
SCE,2019-10-10 11:44:00,2019-10-11 09:43:00,"0 days,21 hrs,59 min",0.9159722222248092,21.98333333339542,CUDDEBACK,Tier 2/Tier 3,325.0,316.0,0.0,3.0,0.0,True,False,True,False
