circuit,time,fpi,wind,gust,percent,total_customers_impacted,residential_customers,commercial_industrial_customers,medical_baseline_customers,other_customers,residential,commercial,medical,other
BOOTLEGGER,2021-10-23 12:00:00,0.0,0.2200640608689187,26.96701912410535,0.7098840673190926,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 12:10:00,0.0084534892490698,0.2614128611445687,32.73956755771205,0.8432672940147377,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 12:20:00,0.8644997448594077,1.400859421129209,29.17310713287612,4.518901358481319,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 12:30:00,0.620806841912727,0.9281769103859768,29.04389104316506,2.994119065761216,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 12:40:00,0.5169048214696151,1.1628317402840465,30.300579292674573,3.7510701299485367,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 12:50:00,0.8012894114688416,1.2051876318442394,34.77322293645747,3.887702038207224,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 13:00:00,0.5726348573239385,0.0,27.145583086324304,0.5901213714418327,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 13:10:00,0.3923462319562208,0.3854715033728325,30.92776529331049,1.243456462493008,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 13:20:00,0.0,0.0,36.18051501821488,0.7865329351785845,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 13:30:00,0.3409753487249741,0.7242314950966815,37.18233670771904,2.336230629344134,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 13:40:00,0.2613297142931754,0.7100642197737504,35.173736378277695,2.290529741205647,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 13:50:00,0.1581374638880721,0.1945018449399059,29.21303237979782,0.6350659212999527,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 14:00:00,0.5507959994886462,0.0,30.093653110188903,0.6542098502214979,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 14:10:00,0.5629395966706614,0.0,29.241081578054903,0.6356756864794545,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 14:20:00,1.063433577322664,0.0,31.904146901336404,0.6935684108986174,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 14:30:00,1.0235857753933084,0.832928051531721,30.84213980430489,2.6868646823603903,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 14:40:00,1.7278272163149888,0.1834131501923115,31.209807976175306,0.6784740864385936,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 14:50:00,0.6882802956610754,0.0419518106955741,30.79383237318121,0.6694311385474176,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 15:00:00,0.4666614860789148,0.0312710329805378,33.36888133736944,0.7254104638558573,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 15:10:00,0.7658354236778717,0.0,28.562056272307466,0.6209142667892927,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 15:20:00,0.9894722919501786,0.0109019884227479,25.77272135569537,0.560276551210769,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 15:30:00,0.9836710197957734,0.0,30.617020036984567,0.6655873921083602,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 15:40:00,1.425729713809601,1.0873022987080314,27.64200567892911,3.507426770025908,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 15:50:00,1.0998165006296423,1.1439962867351547,32.595458697344164,3.6903106023714662,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 16:00:00,1.2881423221652564,0.3864386921550868,22.95907325820303,1.2465764263067318,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 16:10:00,0.942372706848439,0.1308074937052041,25.53973763843832,0.5552116877921375,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 16:20:00,0.8924728943330679,1.2040133016272172,33.388371164133055,3.8839138762168295,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 16:30:00,0.6586815137944612,1.3059522071273135,30.291539742031546,4.212749055249399,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 16:40:00,0.3623657665057516,1.2891926509756992,22.787123155273925,4.158685970889352,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 16:50:00,0.2084260659922486,1.5036403928138762,29.807104756519063,4.850452880044761,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 17:00:00,0.0,2.1347001622020514,26.24972710966661,6.886129555490489,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 17:10:00,0.2220506559925549,2.5755045815879893,30.413712857676693,8.308079295445127,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 17:20:00,0.0,2.010232685394857,29.31012871481866,6.484621565789863,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
BOOTLEGGER,2021-10-23 17:30:00,0.0,3.600312935458549,33.772189168899715,11.613912695027578,1498.0,1399.0,61.0,28.0,0.0,True,True,True,False
