Circuit,Weather Station,Wind Sustained,Gust Sustained,Thresholds (Sustained/ Gust),FPI Value,Reasons for De‐Energization,month,days,year,Wind Threshold,Gust Threshold,Wind Trigger Percentage,Gust Trigger Percentage,Combined Trigger Percentage,start day,end day,start,end
BOOTLEGGER,SCE Antelope Valley Fwy,16.0,41.0,31/46,13.98,"Exceeded Threshold, Exceeded FPI,",Sept,5-11,2020,31.0,46.0,51.61290322580645,89.13043478260869,89.13043478260869,5,11,2020-09-05,2020-09-11
RED BOX,Chilao (CHOC1),16.0,46.0,31/46,14.01,"Exceeded Threshold, Exceeded FPI,",Sept,5-11,2020,31.0,46.0,51.61290322580645,100.0,100.0,5,11,2020-09-05,2020-09-11
ENERGY,SCE Santa Susana Pass Rd,16.9,43.8,31/46,13.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,54.516129032258064,95.21739130434781,95.21739130434781,29,29,2020-11-29,2020-11-29
SAND CANYON,SCE Magic Mtn Truck Trail,30.6,40.3,31/46,12.11,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,98.70967741935485,87.6086956521739,98.70967741935485,29,29,2020-11-29,2020-11-29
DUKE,SCE Mount Davis,26.9,40.6,30/46,13.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,30.0,46.0,89.66666666666666,88.26086956521739,89.66666666666666,29,29,2020-11-29,2020-11-29
NAPOLEON,SCE Lamb Canyon Landfall,24.8,39.1,31/45,14.04,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,80.0,86.8888888888889,86.8888888888889,29,29,2020-11-29,2020-11-29
FROZEN,Grapevine Peak (RAWS) GVPC1,26.0,35.0,31/46,12.03,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,83.87096774193549,76.08695652173914,83.87096774193549,29,29,2020-11-29,2020-11-29
CUDDEBACK,SCE Cummings Valley,23.0,32.7,23/37,12.15,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,23.0,37.0,100.0,88.37837837837839,100.0,29,29,2020-11-29,2020-11-29
METTLER,SCE Cummings Valley,23.0,32.7,23/37,12.15,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,23.0,37.0,100.0,88.37837837837839,100.0,29,29,2020-11-29,2020-11-29
ANTON,SCE Happy Camp Rd,23.5,40.1,31/46,14.03,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,75.80645161290323,87.17391304347827,87.17391304347827,29,29,2020-11-29,2020-11-29
ZONE,SCE Long Canyon,22.6,38.4,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,72.90322580645162,83.47826086956522,83.47826086956522,29,29,2020-11-29,2020-11-29
CONDOR,SCE Cummings Valley,26.0,37.6,31/46,14.1,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,83.87096774193549,81.73913043478261,83.87096774193549,29,29,2020-11-29,2020-11-29
RAINBOW,SCE South Mountain,26.5,34.7,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,85.48387096774194,75.43478260869566,85.48387096774194,29,29,2020-11-29,2020-11-29
BALCOM,SCE South Mountain,26.5,34.7,31/46,12.95,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,85.48387096774194,75.43478260869566,85.48387096774194,29,29,2020-11-29,2020-11-29
CUDDEBACK,SCE Reeves St,19.2,31.6,23/37,12.15,"High Wind Trend, Exceeded FPI,",Nov,29,2020,23.0,37.0,83.47826086956522,85.4054054054054,85.4054054054054,29,29,2020-11-29,2020-11-29
DYSART,SCE Old Banning Idyllwind Rd,25.6,47.8,31/46,12.16,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,82.58064516129032,103.91304347826087,103.91304347826087,29,29,2020-11-29,2020-11-29
SADDLEBACK,SCE Old Banning Idyllwind Rd,25.6,47.8,31/46,12.07,"Exceeded Threshold, Exceeded FPI,",Nov,29,2020,31.0,46.0,82.58064516129032,103.91304347826087,103.91304347826087,29,29,2020-11-29,2020-11-29
BONNEVILLE,SCE Ramona Expy,11.1,36.0,28/40,12.0,"High Wind Trend, Exceeded FPI,",Nov,29,2020,28.0,40.0,39.64285714285714,90.0,90.0,29,29,2020-11-29,2020-11-29
EASTER,SCE Ramona/ Hwy79,23.5,37.9,29/41,12.97,"High Wind Trend, Exceeded FPI,",Nov,29,2020,29.0,41.0,81.03448275862068,92.4390243902439,92.4390243902439,29,29,2020-11-29,2020-11-29
SAVORY,SCE Ramona/ Hwy79,23.5,37.9,29/42,13.97,"High Wind Trend, Exceeded FPI,",Nov,29,2020,29.0,42.0,81.03448275862068,90.23809523809524,90.23809523809524,29,29,2020-11-29,2020-11-29
DARTMOUTH,SCE Soboba Rd,18.1,38.8,31/45,13.02,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,58.387096774193544,86.22222222222221,86.22222222222221,29,29,2020-11-29,2020-11-29
METTLER,SCE Golden Hills Blvd,22.1,33.6,23/37,12.15,"High Wind Trend, Exceeded FPI,",Nov,29,2020,23.0,37.0,96.08695652173914,90.81081081081082,96.08695652173914,29,29,2020-11-29,2020-11-29
GINGER,SCE Moreno Valley Fwy,20.3,32.2,28/40,12.02,"High Wind Trend, Exceeded FPI,",Nov,29,2020,28.0,40.0,72.5,80.5,80.5,29,29,2020-11-29,2020-11-29
GNATCATCHER,SCE Cummings Valley,24.7,41.7,31/46,13.53,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,79.6774193548387,90.65217391304348,90.65217391304348,29,29,2020-11-29,2020-11-29
ATENTO,SCE Baker Canyon,19.4,38.4,31/46,13.01,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,46.0,62.58064516129031,83.47826086956522,83.47826086956522,29,29,2020-11-29,2020-11-29
LAUDA,SCE State St,22.9,38.7,31/45,13.02,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,45.0,73.87096774193547,86.00000000000001,86.00000000000001,29,29,2020-11-29,2020-11-29
COBRA,SCE Solemint Mtwy,28.2,42.0,31/42,12.05,"High Wind Trend, Exceeded FPI,",Nov,29,2020,31.0,42.0,90.96774193548387,100.0,100.0,29,29,2020-11-29,2020-11-29
