Date,Julian,Hour,Station,Standard,ZipCodes,Scope,HlyAirTmp (F),HlyDewPnt (F),HlyEto (in),HlyNetRad (Ly/day),HlyAsceEto (in),HlyAsceEtr (in),HlyPrecip (in),HlyRelHum (%),HlyResWind (MPH),HlySoilTmp (F),HlySolRad (Ly/day),HlyVapPres (mBars),HlyWindDir (°),HlyWindSpd (MPH)
2020-11-29,334,0100,6,english,"95618, 95617, 95616",hourly,36.7,28.1,0,-80,0,,0,71,1,48.7,0,5.2,248,1
2020-11-29,334,0200,6,english,"95618, 95617, 95616",hourly,35.2,28.1,0,-79,0,,0,75,1,48.5,0,5.2,248,1
2020-11-29,334,0300,6,english,"95618, 95617, 95616",hourly,33.8,27.6,0,-79,0,,0,78,1,48.2,0,5.1,246,1
2020-11-29,334,0400,6,english,"95618, 95617, 95616",hourly,33.3,27,0,-79,0,,0,77,1,48,0,5,245,1
2020-11-29,334,0500,6,english,"95618, 95617, 95616",hourly,33.4,28.2,0,-78,0,,0,81,1,47.8,0,5.2,244,1
2020-11-29,334,0600,6,english,"95618, 95617, 95616",hourly,32,27,0,-79,0,,0,81,1.5,47.6,0,5,243,1.5
2020-11-29,334,0700,6,english,"95618, 95617, 95616",hourly,30.9,25.5,0,-78,0,,0,80,2.1,47.4,1,4.7,244,2.1
2020-11-29,334,0800,6,english,"95618, 95617, 95616",hourly,31.4,25.8,0,-27,0,,0,80,1.1,47.2,83,4.7,231,1.1
2020-11-29,334,0900,6,english,"95618, 95617, 95616",hourly,38.5,29.7,0,116,0,,0,70,1.3,47.1,367,5.6,225,1.3
2020-11-29,334,1000,6,english,"95618, 95617, 95616",hourly,47.5,33,0,288,0.01,,0,57,1.3,47.3,656,6.4,231,1.3
2020-11-29,334,1100,6,english,"95618, 95617, 95616",hourly,53.1,33,0.01,435,0.01,,0,46,2.1,47.9,893,6.4,238,2.1
2020-11-29,334,1200,6,english,"95618, 95617, 95616",hourly,56.9,34,0.01,496,0.01,,0,42,2.2,48.8,980,6.6,237,2.2
2020-11-29,334,1300,6,english,"95618, 95617, 95616",hourly,59.7,33.7,0.01,433,0.01,,0,37,2,49.6,866,6.5,237,2
2020-11-29,334,1400,6,english,"95618, 95617, 95616",hourly,62,34.5,0.01,393,0.01,,0,36,1.9,50.3,821,6.8,237,1.9
2020-11-29,334,1500,6,english,"95618, 95617, 95616",hourly,63,32.8,0.01,256,0.01,,0,32,2.2,50.9,614,6.3,237,2.2
2020-11-29,334,1600,6,english,"95618, 95617, 95616",hourly,63,31.7,0,83,0,,0,31,1.9,51.2,317,6,237,1.9
2020-11-29,334,1700,6,english,"95618, 95617, 95616",hourly,59.5,32.9,0,-58,0,,0,36,1.2,51.2,37,6.3,237,1.2
2020-11-29,334,1800,6,english,"95618, 95617, 95616",hourly,52.8,33.4,0,-81,0,,0,47,1.1,50.9,0,6.5,237,1.1
2020-11-29,334,1900,6,english,"95618, 95617, 95616",hourly,48.1,32.7,0,-79,0,,0,55,1,50.5,0,6.3,237,1
2020-11-29,334,2000,6,english,"95618, 95617, 95616",hourly,45.1,32.1,0,-78,0,,0,60,1,50.2,0,6.1,237,1
2020-11-29,334,2100,6,english,"95618, 95617, 95616",hourly,42.1,31.2,0,-77,0,,0,65,1.3,49.8,0,5.9,237,1.3
2020-11-29,334,2200,6,english,"95618, 95617, 95616",hourly,39.9,30.2,0,-76,0,,0,68,1.3,49.5,0,5.7,236,1.3
2020-11-29,334,2300,6,english,"95618, 95617, 95616",hourly,39.3,29.9,0,-76,0,,0,69,1.4,49.2,0,5.6,236,1.4
2020-11-29,334,2400,6,english,"95618, 95617, 95616",hourly,38.1,28.4,0,-77,0,,0,68,1.5,49,0,5.3,236,1.5
2020-12-16,351,0100,6,english,"95618, 95617, 95616",hourly,38.9,37.4,0,-53,0,,0,94,1.7,47.2,0,7.6,139,1.7
2020-12-16,351,0200,6,english,"95618, 95617, 95616",hourly,38.8,37.6,0,-53,0,,0,95,1.7,47,0,7.6,132,1.7
2020-12-16,351,0300,6,english,"95618, 95617, 95616",hourly,38.4,36.9,0,-54,0,,0,94,1.8,46.8,0,7.4,129,1.8
2020-12-16,351,0400,6,english,"95618, 95617, 95616",hourly,39.9,37.5,0,-54,0,,0,91,3.7,46.7,0,7.6,125,3.7
2020-12-16,351,0500,6,english,"95618, 95617, 95616",hourly,39.7,38.1,0,-53,0,,0,94,4.5,46.6,0,7.8,128,4.5
2020-12-16,351,0600,6,english,"95618, 95617, 95616",hourly,38.6,37.6,0,-53,0,,0,96,2.9,46.6,0,7.6,131,2.9
