StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,ZipCodes,SitingDesc,Latitude,Longitude
1,Fresno/F.S.U. USDA,Fresno,South Central Region Office,Fresno,6/7/1982,9/25/1988,False,True,340,Grass,36º48'52N ,-119º43'54W ,"['93766', '93762', '93761', '93760', '93759', '93755', '93750', '93747', '93745', '93744', '93741', '93740', '93729', '93728', '93727', '93726', '93725', '93724', '93722', '93721', '93720', '93718', '93717', '93716', '93715', '93714', '93711', '93710', '93709', '93708', '93707', '93706', '93705', '93704', '93703', '93702', '93701', '93650', '93234', '93668', '93660', '93656', '93652', '93609', '93608', '93607']",, 36.814444, -119.731670
2,FivePoints,Five Points,South Central Region Office,Fresno,6/7/1982,12/31/2050,True,True,285,Grass,36º20'10N ,-120º6'46W ,['93624'],, 36.336222, -120.112910
3,Beach /Santa Cruz CO,Watsonville,South Central Region Office,Santa Cruz,5/30/1982,8/25/1986,False,True,10,Grass,36º52'50N ,-121º47'36W ,"['95077', '95076', '95075', '95019', '95018']",, 36.880556, -121.793330
4,Webb /Santa Cruz CO,Watsonville,South Central Region Office,Santa Cruz,5/30/1982,4/29/1988,False,True,230,Grass,36º58'21N ,-121º43'34W ,"['95077', '95076', '95075', '95019', '95018']",, 36.9725, -121.726110
5,Shafter,Shafter,South Central Region Office,Kern,6/1/1982,12/31/2050,True,True,360,Grass,35º31'57N ,-119º16'54W ,"['93263', '93280', '93388']",, 35.532556, -119.281790
6,Davis,Davis,North Central Region Office,Yolo,7/17/1982,12/31/2050,True,True,60,Grass,38º32'8N ,-121º46'35W ,"['95618', '95617', '95616']",, 38.535694, -121.776360
7,Firebaugh/Telles,Firebaugh,South Central Region Office,Fresno,9/22/1982,12/31/2050,True,False,185,Grass,36º51'4N ,-120º35'27W ,"['93622', '93665', '93620']",, 36.851222, -120.590920
8,Gerber,Gerber,Northern Region Office,Tehama,9/22/1982,8/14/2014,False,True,250,Grass,40º2'39N ,-122º9'56W ,"['96035', '96092', '96090', '96078', '96055']",, 40.044053, -122.165510
9,Lamont,LaMont,South Central Region Office,Kern,9/29/1982,4/10/1989,False,True,406,Grass,35º14'17N ,-118º53'40W ,"['93621', '93272', '93256', '93216', '93215', '93201', '93219']",, 35.238056, -118.894440
10,Bakersfield/Greenlee,Mettler Station,South Central Region Office,Kern,10/1/1982,4/16/1986,False,True,400,Grass,35º4'37N ,-119º4'56W ,"['93383', '93381', '93313']",, 35.077083, -119.082130
11,Bakersfield/Bonanza,Conner,South Central Region Office,Kern,9/29/1982,4/17/1986,False,True,290,Grass,35º9'38N ,-119º10'51W ,"['93383', '93381', '93313']",, 35.160556, -119.180830
